fid,objectid,uid,name,subdistrict,district,state,country,censusname,villagename_locallang,lgd_villagename,lgd_villagecode,lgd_subdistrictcode,lgd_districtcode,lgd_statecode,censuscode2011,premiumdata.sde.VillageBoundary26.area,level_2011,tru_2011,st_area(shape),st_perimeter(shape),Hub distance_fid,Hub distance_objectid,Hub distance_uid,Hub distance_name,Hub distance_subdistrict,Hub distance_district,Hub distance_state,Hub distance_country,Hub distance_censusname,Hub distance_villagename_locallang,Hub distance_lgd_villagename,Hub distance_lgd_villagecode,Hub distance_lgd_subdistrictcode,Hub distance_lgd_districtcode,Hub distance_lgd_statecode,Hub distance_premiumdata.sde.VillageBoundary26.area,Hub distance_level_2011,Hub distance_tru_2011,Hub distance_st_area(shape),Hub distance_st_perimeter(shape),Hub distance_HubName,Hub distance_HubDist,Hub distance_landslide_risk
12,206475,"182862067235969",Ahomgaon Kataki Pukhuri,Moran,Dibrugarh,Assam,India,Ahomgaon Kataki Pukhuri,,Ahomgaon Kataki Pukhuri,291772,2067,286,18,"291772",0.74675921,Village,Rural,948727.387267924,4180.12601598055,12,206475,"182862067235969",Ahomgaon Kataki Pukhuri,Moran,Dibrugarh,Assam,India,Ahomgaon Kataki Pukhuri,,Ahomgaon Kataki Pukhuri,291772,2067,286,18,0.74675921,Village,Rural,948727.387267924,4180.12601598055,"18637",329043.980399079,0.224
13,212332,"182862067236006",Ahomgaon Nagar,Moran,Dibrugarh,Assam,India,Ahomgaon Nagar,,Ahomgaon Nagar,291774,2067,286,18,"291774",0.36083337,Village,Rural,458444.100764253,2974.43703287052,13,212332,"182862067236006",Ahomgaon Nagar,Moran,Dibrugarh,Assam,India,Ahomgaon Nagar,,Ahomgaon Nagar,291774,2067,286,18,0.36083337,Village,Rural,458444.100764253,2974.43703287052,"18637",328176.25462717,0.211
14,205247,"182862067235971",Ahomgaon No 1,Moran,Dibrugarh,Assam,India,Ahomgaon No.1,,Ahomgaon,291775,2067,286,18,"291775",0.75977288,Village,Rural,965177.358058347,4972.35198256068,14,205247,"182862067235971",Ahomgaon No 1,Moran,Dibrugarh,Assam,India,Ahomgaon No.1,,Ahomgaon,291775,2067,286,18,0.75977288,Village,Rural,965177.358058347,4972.35198256068,"18637",327118.029404158,0.197
15,206473,"182862067236003",Ahomgaon No 2,Moran,Dibrugarh,Assam,India,Ahomgaon No.2,,Ahomgaon,291778,2067,286,18,"291778",1.07954934,Village,Rural,1371398.63424267,6203.18703594701,15,206473,"182862067236003",Ahomgaon No 2,Moran,Dibrugarh,Assam,India,Ahomgaon No.2,,Ahomgaon,291778,2067,286,18,1.07954934,Village,Rural,1371398.63424267,6203.18703594701,"18637",326557.074771571,0.189
16,210575,"182862067235921",Akhoi Phutia,Moran,Dibrugarh,Assam,India,Akhoi Phutia,,Akhoi Phutia,291860,2067,286,18,"291860",0.77510587,Village,Rural,983568.803690462,6303.06189632799,16,210575,"182862067235921",Akhoi Phutia,Moran,Dibrugarh,Assam,India,Akhoi Phutia,,Akhoi Phutia,291860,2067,286,18,0.77510587,Village,Rural,983568.803690462,6303.06189632799,"18637",318263.750328202,0.073
17,205343,"182862063234752",Aliachuk Gaon,Dibrugarh West,Dibrugarh,Assam,India,Aliachuk Gaon,,Aliachuk Gaon,291168,2063,286,18,"291168",0.66379385,Village,Rural,844211.044752875,3781.80076938514,17,205343,"182862063234752",Aliachuk Gaon,Dibrugarh West,Dibrugarh,Assam,India,Aliachuk Gaon,,Aliachuk Gaon,291168,2063,286,18,0.66379385,Village,Rural,844211.044752875,3781.80076938514,"18637",332955.605706844,0.278
18,205199,"182862069235589",Alichiga Gaon,Naharkatiya,Dibrugarh,Assam,India,Alichiga Gaon,,Alichiga Gaon,292348,2069,286,18,"292348",1.17037725,Village,Rural,1487018.40578294,5881.95502009711,18,205199,"182862069235589",Alichiga Gaon,Naharkatiya,Dibrugarh,Assam,India,Alichiga Gaon,,Alichiga Gaon,292348,2069,286,18,1.17037725,Village,Rural,1487018.40578294,5881.95502009711,"18637",369773.360952545,0.794
19,205243,"182862064234890",Alimur Gaon,Dibrugarh East,Dibrugarh,Assam,India,Alimur Gaon,,Alimur Gaon,291324,2064,286,18,"291324",2.92567408,Village,Rural,3727447.26191932,9227.18731606796,19,205243,"182862064234890",Alimur Gaon,Dibrugarh East,Dibrugarh,Assam,India,Alimur Gaon,,Alimur Gaon,291324,2064,286,18,2.92567408,Village,Rural,3727447.26191932,9227.18731606796,"18637",356293.000437002,0.605
20,205445,"182862069235668",Amguri,Naharkatiya,Dibrugarh,Assam,India,Amguri,,Amguri,292263,2069,286,18,"292263",5.07259371,Village,Rural,6451380.92036886,11216.4968258386,20,205445,"182862069235668",Amguri,Naharkatiya,Dibrugarh,Assam,India,Amguri,,Amguri,292263,2069,286,18,5.07259371,Village,Rural,6451380.92036886,11216.4968258386,"18637",363581.837533546,0.707
21,205277,"182862069235669",Amguri Nepali,Naharkatiya,Dibrugarh,Assam,India,Amguri Nepali,,Amguri Nepali,292262,2069,286,18,"292262",3.40708434,Village,Rural,4334862.71302557,10314.5678685508,21,205277,"182862069235669",Amguri Nepali,Naharkatiya,Dibrugarh,Assam,India,Amguri Nepali,,Amguri Nepali,292262,2069,286,18,3.40708434,Village,Rural,4334862.71302557,10314.5678685508,"18637",364297.51729373,0.717
22,206750,"182862066235249",Amulguri Chah Bagan,Tengakhat,Dibrugarh,Assam,India,Amulguri Chah Bagan,,Amulguri Chah Bagan,291497,2066,286,18,"291497",0.96715667,Village,Rural,1231565.97879207,4872.65834603724,22,206750,"182862066235249",Amulguri Chah Bagan,Tengakhat,Dibrugarh,Assam,India,Amulguri Chah Bagan,,Amulguri Chah Bagan,291497,2066,286,18,0.96715667,Village,Rural,1231565.97879207,4872.65834603724,"18637",367992.726241558,0.769
23,205450,"182862066235148",Anandabari T E,Tengakhat,Dibrugarh,Assam,India,Anandabari T.E.,,Anandabari T.E.,291532,2066,286,18,"291532",2.57382328,Village,Rural,3276884.21887041,7925.08094242764,23,205450,"182862066235148",Anandabari T E,Tengakhat,Dibrugarh,Assam,India,Anandabari T.E.,,Anandabari T.E.,291532,2066,286,18,2.57382328,Village,Rural,3276884.21887041,7925.08094242764,"18637",380586.688681443,0.945
24,205298,"182862069235592",Asamia Gaon,Naharkatiya,Dibrugarh,Assam,India,Asamia Gaon,,Asamia Gaon,292382,2069,286,18,"292382",3.88904509,Village,Rural,4939510.82422667,9583.51026901093,24,205298,"182862069235592",Asamia Gaon,Naharkatiya,Dibrugarh,Assam,India,Asamia Gaon,,Asamia Gaon,292382,2069,286,18,3.88904509,Village,Rural,4939510.82422667,9583.51026901093,"18637",367478.659827576,0.762
25,205496,"182862064234915",Athabari Gaon,Dibrugarh East,Dibrugarh,Assam,India,Athabari Gaon,,Athabari Gaon,291287,2064,286,18,"291287",2.21764443,Village,Rural,2828374.48280137,7760.16981773199,25,205496,"182862064234915",Athabari Gaon,Dibrugarh East,Dibrugarh,Assam,India,Athabari Gaon,,Athabari Gaon,291287,2064,286,18,2.21764443,Village,Rural,2828374.48280137,7760.16981773199,"18637",354902.168211568,0.586
26,210869,"182862067235824",Athabari Gaon,Moran,Dibrugarh,Assam,India,Athabari Gaon,,Athabari Gaon,291720,2067,286,18,"291720",1.51874724,Village,Rural,1929835.96640441,9198.2637347436,26,210869,"182862067235824",Athabari Gaon,Moran,Dibrugarh,Assam,India,Athabari Gaon,,Athabari Gaon,291720,2067,286,18,1.51874724,Village,Rural,1929835.96640441,9198.2637347436,"18637",332493.525048759,0.272
27,206478,"182862068235427",Azizbag T E,Tingkhong,Dibrugarh,Assam,India,Azizbag T.E.,,Azizbag T.E.,292135,2068,286,18,"292135",4.5786823,Village,Rural,5812216.23986343,10148.1973477967,27,206478,"182862068235427",Azizbag T E,Tingkhong,Dibrugarh,Assam,India,Azizbag T.E.,,Azizbag T.E.,292135,2068,286,18,4.5786823,Village,Rural,5812216.23986343,10148.1973477967,"18637",347175.525230568,0.477
28,205254,"182862068235490",Bacha Gaon,Tingkhong,Dibrugarh,Assam,India,Bacha Gaon,,Bacha Gaon,292162,2068,286,18,"292162",2.4643656,Village,Rural,3127043.45469926,9563.82287523011,28,205254,"182862068235490",Bacha Gaon,Tingkhong,Dibrugarh,Assam,India,Bacha Gaon,,Bacha Gaon,292162,2068,286,18,2.4643656,Village,Rural,3127043.45469926,9563.82287523011,"18637",351197.580912655,0.534
29,206794,"182862069235642",Badhari Tipling,Naharkatiya,Dibrugarh,Assam,India,Badhari Tipling,,Badhari Tipling,292317,2069,286,18,"292317",2.45386013,Village,Rural,3120011.83774827,8296.82852156062,29,206794,"182862069235642",Badhari Tipling,Naharkatiya,Dibrugarh,Assam,India,Badhari Tipling,,Badhari Tipling,292317,2069,286,18,2.45386013,Village,Rural,3120011.83774827,8296.82852156062,"18637",369126.236111773,0.785
30,205476,"182862065235060",Bagaritolia,Chabua,Dibrugarh,Assam,India,Bagaritolia,,Bagaritolia,291374,2065,286,18,"291374",1.71995345,Village,Rural,2196179.27214351,6959.23264926239,30,205476,"182862065235060",Bagaritolia,Chabua,Dibrugarh,Assam,India,Bagaritolia,,Bagaritolia,291374,2065,286,18,1.71995345,Village,Rural,2196179.27214351,6959.23264926239,"18637",370030.843519216,0.797
31,205109,"182862068235389",Baghmora,Tingkhong,Dibrugarh,Assam,India,Baghmora,,Baghmora,292205,2068,286,18,"292205",0.67943991,Village,Rural,861786.650920027,4883.78646636749,31,205109,"182862068235389",Baghmora,Tingkhong,Dibrugarh,Assam,India,Baghmora,,Baghmora,292205,2068,286,18,0.67943991,Village,Rural,861786.650920027,4883.78646636749,"18637",347199.93576781,0.478
32,205310,"182862069235586",Baghmora Gaon,Naharkatiya,Dibrugarh,Assam,India,Baghmora Gaon,,Baghmora Gaon,292346,2069,286,18,"292346",1.38378976,Village,Rural,1758394.90170595,5479.0385060835,32,205310,"182862069235586",Baghmora Gaon,Naharkatiya,Dibrugarh,Assam,India,Baghmora Gaon,,Baghmora Gaon,292346,2069,286,18,1.38378976,Village,Rural,1758394.90170595,5479.0385060835,"18637",370932.79693146,0.81
33,205082,"182862068235400",Baghmora No 2,Tingkhong,Dibrugarh,Assam,India,Baghmora No.2,,Baghmora,292207,2068,286,18,"292207",1.47779723,Village,Rural,1874665.78270322,6627.87075763297,33,205082,"182862068235400",Baghmora No 2,Tingkhong,Dibrugarh,Assam,India,Baghmora No.2,,Baghmora,292207,2068,286,18,1.47779723,Village,Rural,1874665.78270322,6627.87075763297,"18637",347507.259325935,0.482
