fid,objectid,uid,name,subdistrict,district,state,country,censusname,villagename_locallang,lgd_villagename,lgd_villagecode,lgd_subdistrictcode,lgd_districtcode,lgd_statecode,censuscode2011,premiumdata.sde.VillageBoundary26.area,level_2011,tru_2011,st_area(shape),st_perimeter(shape),Hub distance_fid,Hub distance_objectid,Hub distance_uid,Hub distance_name,Hub distance_subdistrict,Hub distance_district,Hub distance_state,Hub distance_country,Hub distance_censusname,Hub distance_villagename_locallang,Hub distance_lgd_villagename,Hub distance_lgd_villagecode,Hub distance_lgd_subdistrictcode,Hub distance_lgd_districtcode,Hub distance_lgd_statecode,Hub distance_premiumdata.sde.VillageBoundary26.area,Hub distance_level_2011,Hub distance_tru_2011,Hub distance_st_area(shape),Hub distance_st_perimeter(shape),Hub distance_HubName,Hub distance_HubDist,Hub distance_landslide_risk
272,205305,"182862069235628",Cheleng Chuk,Naharkatiya,Dibrugarh,Assam,India,Cheleng Chuk,,Cheleng Chuk,292299,2069,286,18,"292299",0.94597548,Village,Rural,1202081.94763172,5784.09096699373,272,205305,"182862069235628",Cheleng Chuk,Naharkatiya,Dibrugarh,Assam,India,Cheleng Chuk,,Cheleng Chuk,292299,2069,286,18,0.94597548,Village,Rural,1202081.94763172,5784.09096699373,"18637",361485.762357721,0.678
273,210339,"182862065235047",Chengdhora,Chabua,Dibrugarh,Assam,India,Chengdhora,,Chengdhora,291379,2065,286,18,"291379",0.99786075,Village,Rural,1273491.25248007,4797.06168204998,273,210339,"182862065235047",Chengdhora,Chabua,Dibrugarh,Assam,India,Chengdhora,,Chengdhora,291379,2065,286,18,0.99786075,Village,Rural,1273491.25248007,4797.06168204998,"18637",363409.783413581,0.705
274,205172,"182862065235046",Chengdhora T E,Chabua,Dibrugarh,Assam,India,Chengdhora T.E.,,Chengdhora T.E.,291381,2065,286,18,"291381",2.18351434,Village,Rural,2786395.76267983,6670.99311813332,274,205172,"182862065235046",Chengdhora T E,Chabua,Dibrugarh,Assam,India,Chengdhora T.E.,,Chengdhora T.E.,291381,2065,286,18,2.18351434,Village,Rural,2786395.76267983,6670.99311813332,"18637",362205.560752628,0.688
275,205533,"182862069235658",Chengelijan,Naharkatiya,Dibrugarh,Assam,India,Chengelijan,,Chengelijan,292302,2069,286,18,"292302",1.81131461,Village,Rural,2302013.74121897,8744.25487400646,275,205533,"182862069235658",Chengelijan,Naharkatiya,Dibrugarh,Assam,India,Chengelijan,,Chengelijan,292302,2069,286,18,1.81131461,Village,Rural,2302013.74121897,8744.25487400646,"18637",363054.682344215,0.7
276,206668,"182862069235533",Chengelijan,Naharkatiya,Dibrugarh,Assam,India,Chengelijan,,Chengelijan,292333,2069,286,18,"292333",1.35748776,Village,Rural,1725328.74637783,6233.50461596617,276,206668,"182862069235533",Chengelijan,Naharkatiya,Dibrugarh,Assam,India,Chengelijan,,Chengelijan,292333,2069,286,18,1.35748776,Village,Rural,1725328.74637783,6233.50461596617,"18637",375341.609997632,0.872
277,206333,"182862069235652",Chengelijan Habi No 1,Naharkatiya,Dibrugarh,Assam,India,Chengelijan Habi No.1,,Chengelijan Habi,292306,2069,286,18,"292306",1.35850754,Village,Rural,1726702.46228954,6012.48936976492,277,206333,"182862069235652",Chengelijan Habi No 1,Naharkatiya,Dibrugarh,Assam,India,Chengelijan Habi No.1,,Chengelijan Habi,292306,2069,286,18,1.35850754,Village,Rural,1726702.46228954,6012.48936976492,"18637",364651.108038741,0.722
278,206605,"182862069235660",Chengelijan Habi No 2,Naharkatiya,Dibrugarh,Assam,India,Chengelijan Habi No.2,,Chengelijan Habi,292300,2069,286,18,"292300",0.70357052,Village,Rural,894137.936206782,4910.49315646811,278,206605,"182862069235660",Chengelijan Habi No 2,Naharkatiya,Dibrugarh,Assam,India,Chengelijan Habi No.2,,Chengelijan Habi,292300,2069,286,18,0.70357052,Village,Rural,894137.936206782,4910.49315646811,"18637",361570.35404546,0.679
279,206753,"182862064234897",Chenglijan,Dibrugarh East,Dibrugarh,Assam,India,Chenglijan,,Chenglijan,291328,2064,286,18,"291328",2.4210392,Village,Rural,3084235.88215354,7525.30000626044,279,206753,"182862064234897",Chenglijan,Dibrugarh East,Dibrugarh,Assam,India,Chenglijan,,Chenglijan,291328,2064,286,18,2.4210392,Village,Rural,3084235.88215354,7525.30000626044,"18637",352691.958721547,0.555
280,205366,"182862067235821",Chenimari Gaon,Moran,Dibrugarh,Assam,India,Chenimari Gaon,,Chenimari Gaon,291724,2067,286,18,"291724",4.56711109,Village,Rural,5806536.23180136,12909.4544316193,280,205366,"182862067235821",Chenimari Gaon,Moran,Dibrugarh,Assam,India,Chenimari Gaon,,Chenimari Gaon,291724,2067,286,18,4.56711109,Village,Rural,5806536.23180136,12909.4544316193,"18637",334060.592853162,0.294
281,206563,"182862066235251",Chercheria Jan,Tengakhat,Dibrugarh,Assam,India,Chercheria Jan,,Chercheria Jan,291595,2066,286,18,"291595",1.48998855,Village,Rural,1896623.84597312,7107.70186870327,281,206563,"182862066235251",Chercheria Jan,Tengakhat,Dibrugarh,Assam,India,Chercheria Jan,,Chercheria Jan,291595,2066,286,18,1.48998855,Village,Rural,1896623.84597312,7107.70186870327,"18637",366637.876331569,0.75
282,206656,"182862069235585",Cherepajan Bangali,Naharkatiya,Dibrugarh,Assam,India,Cherepajan Bangali,,Cherepajan Bangali,292345,2069,286,18,"292345",0.8812375,Village,Rural,1119930.75713396,4612.7082741903,282,206656,"182862069235585",Cherepajan Bangali,Naharkatiya,Dibrugarh,Assam,India,Cherepajan Bangali,,Cherepajan Bangali,292345,2069,286,18,0.8812375,Village,Rural,1119930.75713396,4612.7082741903,"18637",370302.756647717,0.801
283,206295,"182862069235638",Cherepajan Pather Gaon,Naharkatiya,Dibrugarh,Assam,India,Cherepajan Pather Gaon,,Cherepajan Pather Gaon,292347,2069,286,18,"292347",0.24487803,Village,Rural,311224.562276999,2618.00881044807,283,206295,"182862069235638",Cherepajan Pather Gaon,Naharkatiya,Dibrugarh,Assam,India,Cherepajan Pather Gaon,,Cherepajan Pather Gaon,292347,2069,286,18,0.24487803,Village,Rural,311224.562276999,2618.00881044807,"18637",369799.550392044,0.794
284,205465,"182862065235020",Chetia Gaon,Chabua,Dibrugarh,Assam,India,Chetia Gaon,,Chetia Gaon,291418,2065,286,18,"291418",1.86421258,Village,Rural,2378581.33256949,7773.01804040664,284,205465,"182862065235020",Chetia Gaon,Chabua,Dibrugarh,Assam,India,Chetia Gaon,,Chetia Gaon,291418,2065,286,18,1.86421258,Village,Rural,2378581.33256949,7773.01804040664,"18637",367745.651451094,0.765
285,206466,"182862067235997",Chetia Gaon,Moran,Dibrugarh,Assam,India,Chetia Gaon,,Chetia Gaon,291708,2067,286,18,"291708",2.02293196,Village,Rural,2570046.78243415,7881.73696302379,285,206466,"182862067235997",Chetia Gaon,Moran,Dibrugarh,Assam,India,Chetia Gaon,,Chetia Gaon,291708,2067,286,18,2.02293196,Village,Rural,2570046.78243415,7881.73696302379,"18637",324969.379232638,0.167
286,210919,"182862065234966",Chetia Pathar,Chabua,Dibrugarh,Assam,India,Chetia Pathar,,Chetia Pathar,291454,2065,286,18,"291454",0.72334252,Village,Rural,922214.790562114,4649.61283740007,286,210919,"182862065234966",Chetia Pathar,Chabua,Dibrugarh,Assam,India,Chetia Pathar,,Chetia Pathar,291454,2065,286,18,0.72334252,Village,Rural,922214.790562114,4649.61283740007,"18637",370126.459739026,0.799
287,205149,"182862066235110",Chetia Pather,Tengakhat,Dibrugarh,Assam,India,Chetia Pather,,Chetia Pather,291589,2066,286,18,"291589",0.40594634,Village,Rural,516544.78815967,2937.83875550788,287,205149,"182862066235110",Chetia Pather,Tengakhat,Dibrugarh,Assam,India,Chetia Pather,,Chetia Pather,291589,2066,286,18,0.40594634,Village,Rural,516544.78815967,2937.83875550788,"18637",366646.881140854,0.75
288,206718,"182862066235107",Chetia Pather No 1,Tengakhat,Dibrugarh,Assam,India,Chetia Pather No.1,,Chetia Pather,291669,2066,286,18,"291669",0.64406868,Village,Rural,819621.041895216,4007.27064783841,288,206718,"182862066235107",Chetia Pather No 1,Tengakhat,Dibrugarh,Assam,India,Chetia Pather No.1,,Chetia Pather,291669,2066,286,18,0.64406868,Village,Rural,819621.041895216,4007.27064783841,"18637",366520.182610695,0.748
289,206498,"182862066235276",Chirika Beel,Tengakhat,Dibrugarh,Assam,India,Chirika Beel,,Chirika Beel,291672,2066,286,18,"291672",0.27608591,Village,Rural,351251.116611519,2760.29427596433,289,206498,"182862066235276",Chirika Beel,Tengakhat,Dibrugarh,Assam,India,Chirika Beel,,Chirika Beel,291672,2066,286,18,0.27608591,Village,Rural,351251.116611519,2760.29427596433,"18637",366451.757872524,0.747
290,206378,"182862064234865",Chiring Hula No 1,Dibrugarh East,Dibrugarh,Assam,India,Chiring Hula No.1,,Chiring Hula,291336,2064,286,18,"291336",2.49105061,Village,Rural,3172698.80484703,8283.13733228626,290,206378,"182862064234865",Chiring Hula No 1,Dibrugarh East,Dibrugarh,Assam,India,Chiring Hula No.1,,Chiring Hula,291336,2064,286,18,2.49105061,Village,Rural,3172698.80484703,8283.13733228626,"18637",355396.584264702,0.593
291,210917,"182862064234866",Chiring Hula No 2,Dibrugarh East,Dibrugarh,Assam,India,Chiring Hula No.2,,Chiring Hula,291335,2064,286,18,"291335",1.55105559,Village,Rural,1975463.45122918,6324.48731740597,291,210917,"182862064234866",Chiring Hula No 2,Dibrugarh East,Dibrugarh,Assam,India,Chiring Hula No.2,,Chiring Hula,291335,2064,286,18,1.55105559,Village,Rural,1975463.45122918,6324.48731740597,"18637",354333.370288386,0.578
292,205447,"182862066235283",Chiringkhat,Tengakhat,Dibrugarh,Assam,India,Chiringkhat,,Chiringkhat,291506,2066,286,18,"291506",1.36566281,Village,Rural,1738473.41127607,6156.70760395825,292,205447,"182862066235283",Chiringkhat,Tengakhat,Dibrugarh,Assam,India,Chiringkhat,,Chiringkhat,291506,2066,286,18,1.36566281,Village,Rural,1738473.41127607,6156.70760395825,"18637",369372.717412119,0.788
293,206719,"182862066235070",Chiring Khat,Tengakhat,Dibrugarh,Assam,India,No.2 Chiring Khat,,Chiring Khat,291593,2066,286,18,"291593",1.1625458,Village,Rural,1480166.32620171,4824.09554997551,293,206719,"182862066235070",Chiring Khat,Tengakhat,Dibrugarh,Assam,India,No.2 Chiring Khat,,Chiring Khat,291593,2066,286,18,1.1625458,Village,Rural,1480166.32620171,4824.09554997551,"18637",369923.415550607,0.796
294,206354,"182862066235231",Chowdang Gaon,Tengakhat,Dibrugarh,Assam,India,Chowdang Gaon,,Chowdang Gaon,291659,2066,286,18,"291659",2.37458281,Village,Rural,3022359.34877659,8490.68113069561,294,206354,"182862066235231",Chowdang Gaon,Tengakhat,Dibrugarh,Assam,India,Chowdang Gaon,,Chowdang Gaon,291659,2066,286,18,2.37458281,Village,Rural,3022359.34877659,8490.68113069561,"18637",361323.931384078,0.676
295,205491,"182862063234670",Chring Gaon,Dibrugarh East,Dibrugarh,Assam,India,Chring Gaon,,Chring Gaon,291089,2064,286,18,"291089",2.24956192,Village,Rural,2868194.05205515,7458.65288293825,295,205491,"182862063234670",Chring Gaon,Dibrugarh East,Dibrugarh,Assam,India,Chring Gaon,,Chring Gaon,291089,2064,286,18,2.24956192,Village,Rural,2868194.05205515,7458.65288293825,"18637",346108.699289193,0.462
296,210772,"182862065235332",Chukan Chapori,Chabua,Dibrugarh,Assam,India,Chukan Chapori,,Chukan Chapori,291361,2065,286,18,"291361",1.60651507,Village,Rural,2056465.849761,7945.13469050304,296,210772,"182862065235332",Chukan Chapori,Chabua,Dibrugarh,Assam,India,Chukan Chapori,,Chukan Chapori,291361,2065,286,18,1.60651507,Village,Rural,2056465.849761,7945.13469050304,"18637",381463.945298803,0.958
297,206392,"182862065234979",Chungichuk,Chabua,Dibrugarh,Assam,India,Chungichuk,,Chungichuk,291432,2065,286,18,"291432",2.39914509,Village,Rural,3061481.06323669,9583.85311409904,297,206392,"182862065234979",Chungichuk,Chabua,Dibrugarh,Assam,India,Chungichuk,,Chungichuk,291432,2065,286,18,2.39914509,Village,Rural,3061481.06323669,9583.85311409904,"18637",372529.832747842,0.832
298,205449,"182862066235226",Chungigaon,Tengakhat,Dibrugarh,Assam,India,Chungigaon,,Chungigaon,291486,2066,286,18,"291486",2.64195083,Village,Rural,3364829.51346209,8038.63144654499,298,205449,"182862066235226",Chungigaon,Tengakhat,Dibrugarh,Assam,India,Chungigaon,,Chungigaon,291486,2066,286,18,2.64195083,Village,Rural,3364829.51346209,8038.63144654499,"18637",363063.731965736,0.7
299,206348,"182862066235221",Chungi Pathar Gaon,Tengakhat,Dibrugarh,Assam,India,Chungi Pathar Gaon,,Chungi Pathar Gaon,291609,2066,286,18,"291609",2.49606468,Village,Rural,3178254.53037159,7534.54688111837,299,206348,"182862066235221",Chungi Pathar Gaon,Tengakhat,Dibrugarh,Assam,India,Chungi Pathar Gaon,,Chungi Pathar Gaon,291609,2066,286,18,2.49606468,Village,Rural,3178254.53037159,7534.54688111837,"18637",358730.367553511,0.639
300,206776,"182862068235438",Churatonibam,Tingkhong,Dibrugarh,Assam,India,Churatonibam,,Churatonibam,292080,2068,286,18,"292080",2.28031863,Village,Rural,2895616.75222792,7839.49336345387,300,206776,"182862068235438",Churatonibam,Tingkhong,Dibrugarh,Assam,India,Churatonibam,,Churatonibam,292080,2068,286,18,2.28031863,Village,Rural,2895616.75222792,7839.49336345387,"18637",344315.24937752,0.437
301,205278,"182862068235365",Dachuk Bokalial Bakabat,Tingkhong,Dibrugarh,Assam,India,Dachuk Bokalial (Bakabat),,Dachuk Bokalial (Bakabat),292194,2068,286,18,"292194",2.1594445,Village,Rural,2738468.44738553,7720.14558850784,301,205278,"182862068235365",Dachuk Bokalial Bakabat,Tingkhong,Dibrugarh,Assam,India,Dachuk Bokalial (Bakabat),,Dachuk Bokalial (Bakabat),292194,2068,286,18,2.1594445,Village,Rural,2738468.44738553,7720.14558850784,"18637",340150.129478421,0.379
302,212362,"182862065235004",Dadhia F V,Chabua,Dibrugarh,Assam,India,Dadhia F.V.,,Dadhia F.V.,291479,2065,286,18,"291479",21.14023087,Village,Rural,27021265.0154468,33067.6475678756,302,212362,"182862065235004",Dadhia F V,Chabua,Dibrugarh,Assam,India,Dadhia F.V.,,Dadhia F.V.,291479,2065,286,18,21.14023087,Village,Rural,27021265.0154468,33067.6475678756,"18637",380589.798591381,0.945
303,205357,"182862066235164",Da Hukuta,Tengakhat,Dibrugarh,Assam,India,Da-Hukuta,,Da-Hukuta,291576,2066,286,18,"291576",1.75188927,Village,Rural,2228999.65494581,7332.55146108951,303,205357,"182862066235164",Da Hukuta,Tengakhat,Dibrugarh,Assam,India,Da-Hukuta,,Da-Hukuta,291576,2066,286,18,1.75188927,Village,Rural,2228999.65494581,7332.55146108951,"18637",373128.971264562,0.841
304,205268,"182862063234788",Dainijan Gaon,Dibrugarh West,Dibrugarh,Assam,India,Dainijan Gaon,,Dainijan Gaon,291110,2063,286,18,"291110",1.62400767,Village,Rural,2069227.84559082,6411.15184746646,304,205268,"182862063234788",Dainijan Gaon,Dibrugarh West,Dibrugarh,Assam,India,Dainijan Gaon,,Dainijan Gaon,291110,2063,286,18,1.62400767,Village,Rural,2069227.84559082,6411.15184746646,"18637",342963.701217312,0.418
305,212326,"182862069235670",Dalamuri,Naharkatiya,Dibrugarh,Assam,India,Dalamuri,,Dalamuri,292261,2069,286,18,"292261",0.4069271,Village,Rural,517515.955744086,3867.85254170232,305,212326,"182862069235670",Dalamuri,Naharkatiya,Dibrugarh,Assam,India,Dalamuri,,Dalamuri,292261,2069,286,18,0.4069271,Village,Rural,517515.955744086,3867.85254170232,"18637",362365.421551017,0.69
306,205522,"182862069235671",Dalamuri No 2,Naharkatiya,Dibrugarh,Assam,India,Dalamuri No.2,,Dalamuri,292260,2069,286,18,"292260",2.72433508,Village,Rural,3465409.66787768,9363.79380220925,306,205522,"182862069235671",Dalamuri No 2,Naharkatiya,Dibrugarh,Assam,India,Dalamuri No.2,,Dalamuri,292260,2069,286,18,2.72433508,Village,Rural,3465409.66787768,9363.79380220925,"18637",362617.293477939,0.694
307,206351,"182862067236005",Dalanikur Gaon Dalanikur Kuma,Moran,Dibrugarh,Assam,India,Dalanikur Gaon (Dalanikur Kuma,,Dalanikur Gaon (Dalanikur Kuma,291712,2067,286,18,"291712",0.73206923,Village,Rural,930162.733575736,6021.0452032182,307,206351,"182862067236005",Dalanikur Gaon Dalanikur Kuma,Moran,Dibrugarh,Assam,India,Dalanikur Gaon (Dalanikur Kuma,,Dalanikur Gaon (Dalanikur Kuma,291712,2067,286,18,0.73206923,Village,Rural,930162.733575736,6021.0452032182,"18637",327115.180123848,0.197
308,206645,"182862067235713",Dalanikur Kumar Gaon,Moran,Dibrugarh,Assam,India,Dalanikur Kumar Gaon,,Dalanikur Kumar Gaon,291713,2067,286,18,"291713",2.51212029,Village,Rural,3192179.84179903,7938.20725388969,308,206645,"182862067235713",Dalanikur Kumar Gaon,Moran,Dibrugarh,Assam,India,Dalanikur Kumar Gaon,,Dalanikur Kumar Gaon,291713,2067,286,18,2.51212029,Village,Rural,3192179.84179903,7938.20725388969,"18637",328812.913636222,0.22
309,205251,"182862068235296",Dalapa,Tingkhong,Dibrugarh,Assam,India,Dalapa,,Dalapa,292105,2068,286,18,"292105",3.20575828,Village,Rural,4069119.02931177,8800.27893057263,309,205251,"182862068235296",Dalapa,Tingkhong,Dibrugarh,Assam,India,Dalapa,,Dalapa,292105,2068,286,18,3.20575828,Village,Rural,4069119.02931177,8800.27893057263,"18637",336162.13446264,0.323
310,205181,"182862068235405",Dangalpara Dangatpara,Tingkhong,Dibrugarh,Assam,India,Dangalpara (Dangatpara),,Dangalpara (Dangatpara),292196,2068,286,18,"292196",1.09254497,Village,Rural,1385401.67846627,5112.22385022739,310,205181,"182862068235405",Dangalpara Dangatpara,Tingkhong,Dibrugarh,Assam,India,Dangalpara (Dangatpara),,Dangalpara (Dangatpara),292196,2068,286,18,1.09254497,Village,Rural,1385401.67846627,5112.22385022739,"18637",341164.881602245,0.393
311,205467,"182862065235003",Dangar Chuk,Chabua,Dibrugarh,Assam,India,Dangar Chuk,,Dangar Chuk,291421,2065,286,18,"291421",2.07045067,Village,Rural,2642323.38165923,6466.78550038754,311,205467,"182862065235003",Dangar Chuk,Chabua,Dibrugarh,Assam,India,Dangar Chuk,,Dangar Chuk,291421,2065,286,18,2.07045067,Village,Rural,2642323.38165923,6466.78550038754,"18637",371953.873413618,0.824
312,211502,"182862064234872",Dangar Pothar No 1,Dibrugarh East,Dibrugarh,Assam,India,Dangar Pothar No.1,,Dangar Pothar,291345,2064,286,18,"291345",0.84579985,Village,Rural,1076885.33749629,5052.64987257162,312,211502,"182862064234872",Dangar Pothar No 1,Dibrugarh East,Dibrugarh,Assam,India,Dangar Pothar No.1,,Dangar Pothar,291345,2064,286,18,0.84579985,Village,Rural,1076885.33749629,5052.64987257162,"18637",349738.198011955,0.513
313,206739,"182862064234871",Dangar Pothar No 2,Dibrugarh East,Dibrugarh,Assam,India,Dangar Pothar No.2,,Dangar Pothar,291346,2064,286,18,"291346",2.00190298,Village,Rural,2548974.95262917,6789.29576047892,313,206739,"182862064234871",Dangar Pothar No 2,Dibrugarh East,Dibrugarh,Assam,India,Dangar Pothar No.2,,Dangar Pothar,291346,2064,286,18,2.00190298,Village,Rural,2548974.95262917,6789.29576047892,"18637",348925.616060654,0.502
314,211444,"182862067235909",Dehingia Gaon,Moran,Dibrugarh,Assam,India,Dehingia Gaon,,Dehingia Gaon,291934,2067,286,18,"291934",1.08128231,Village,Rural,1371322.36899301,6845.88836882335,314,211444,"182862067235909",Dehingia Gaon,Moran,Dibrugarh,Assam,India,Dehingia Gaon,,Dehingia Gaon,291934,2067,286,18,1.08128231,Village,Rural,1371322.36899301,6845.88836882335,"18637",317837.725388148,0.067
315,210530,"182862067235949",Demowkinar,Moran,Dibrugarh,Assam,India,Demowkinar,,Demowkinar,291851,2067,286,18,"291851",0.50949522,Village,Rural,646490.29472628,3950.44894814977,315,210530,"182862067235949",Demowkinar,Moran,Dibrugarh,Assam,India,Demowkinar,,Demowkinar,291851,2067,286,18,0.50949522,Village,Rural,646490.29472628,3950.44894814977,"18637",323160.502580028,0.141
316,211458,"182862067235945",Demowkinar Bongali,Moran,Dibrugarh,Assam,India,Demowkinar Bongali,,Demowkinar Bongali,291871,2067,286,18,"291871",0.95431099,Village,Rural,1211337.89441663,4815.40534152968,316,211458,"182862067235945",Demowkinar Bongali,Moran,Dibrugarh,Assam,India,Demowkinar Bongali,,Demowkinar Bongali,291871,2067,286,18,0.95431099,Village,Rural,1211337.89441663,4815.40534152968,"18637",324351.292293738,0.158
317,210571,"182862067235952",Demowkinar Changmai,Moran,Dibrugarh,Assam,India,Demowkinar Changmai,,Demowkinar Changmai,291870,2067,286,18,"291870",2.56973769,Village,Rural,3261386.44801094,8461.66681029397,317,210571,"182862067235952",Demowkinar Changmai,Moran,Dibrugarh,Assam,India,Demowkinar Changmai,,Demowkinar Changmai,291870,2067,286,18,2.56973769,Village,Rural,3261386.44801094,8461.66681029397,"18637",323285.083563794,0.143
318,211912,"182862066235208",Deobil Gaon,Tengakhat,Dibrugarh,Assam,India,Deobil Gaon,,Deobil Gaon,291613,2066,286,18,"291613",3.19094402,Village,Rural,4060505.47335052,9434.61378635952,318,211912,"182862066235208",Deobil Gaon,Tengakhat,Dibrugarh,Assam,India,Deobil Gaon,,Deobil Gaon,291613,2066,286,18,3.19094402,Village,Rural,4060505.47335052,9434.61378635952,"18637",355916.529357361,0.6
319,211518,"182862069235676",Deodhai,Naharkatiya,Dibrugarh,Assam,India,Deodhai,,Deodhai,292256,2069,286,18,"292256",0.84963018,Village,Rural,1080647.05170991,6056.46235462985,319,211518,"182862069235676",Deodhai,Naharkatiya,Dibrugarh,Assam,India,Deodhai,,Deodhai,292256,2069,286,18,0.84963018,Village,Rural,1080647.05170991,6056.46235462985,"18637",360615.628864635,0.666
320,205100,"182862067235910",Deodhai Bangali,Moran,Dibrugarh,Assam,India,Deodhai Bangali,,Deodhai Bangali,291942,2067,286,18,"291942",1.82800577,Village,Rural,2318049.3463424,6948.07983256344,320,205100,"182862067235910",Deodhai Bangali,Moran,Dibrugarh,Assam,India,Deodhai Bangali,,Deodhai Bangali,291942,2067,286,18,1.82800577,Village,Rural,2318049.3463424,6948.07983256344,"18637",316595.439138743,0.049
321,205270,"182862065235012",Deodhai Kopowhuwa,Chabua,Dibrugarh,Assam,India,Deodhai Kopowhuwa,,Deodhai Kopowhuwa,291435,2065,286,18,"291435",2.26390298,Village,Rural,2888343.93635729,8452.24831285911,321,205270,"182862065235012",Deodhai Kopowhuwa,Chabua,Dibrugarh,Assam,India,Deodhai Kopowhuwa,,Deodhai Kopowhuwa,291435,2065,286,18,2.26390298,Village,Rural,2888343.93635729,8452.24831285911,"18637",368352.285106788,0.774
322,206790,"182862069235709",Deodhai No 2,Naharkatiya,Dibrugarh,Assam,India,Deodhai No.2,,Deodhai,292255,2069,286,18,"292255",1.40385297,Village,Rural,1785634.27515163,8077.94773227905,322,206790,"182862069235709",Deodhai No 2,Naharkatiya,Dibrugarh,Assam,India,Deodhai No.2,,Deodhai,292255,2069,286,18,1.40385297,Village,Rural,1785634.27515163,8077.94773227905,"18637",361262.11880525,0.675
323,205453,"182862066235244",Deogharia,Tengakhat,Dibrugarh,Assam,India,Deogharia,,Deogharia,291492,2066,286,18,"291492",1.91012086,Village,Rural,2433023.09020128,6010.84954949559,323,205453,"182862066235244",Deogharia,Tengakhat,Dibrugarh,Assam,India,Deogharia,,Deogharia,291492,2066,286,18,1.91012086,Village,Rural,2433023.09020128,6010.84954949559,"18637",366185.394649126,0.744
324,205227,"182862067235747",Deogharia No 1,Moran,Dibrugarh,Assam,India,Deogharia No.1,,Deogharia,291822,2067,286,18,"291822",1.75475256,Village,Rural,2230557.77414821,6539.10970231028,324,205227,"182862067235747",Deogharia No 1,Moran,Dibrugarh,Assam,India,Deogharia No.1,,Deogharia,291822,2067,286,18,1.75475256,Village,Rural,2230557.77414821,6539.10970231028,"18637",345086.185926545,0.448
325,205122,"182862067235748",Deogharia No 2,Moran,Dibrugarh,Assam,India,Deogharia No.2,,Deogharia,291821,2067,286,18,"291821",1.01203353,Village,Rural,1286618.42746604,6138.59960642863,325,205122,"182862067235748",Deogharia No 2,Moran,Dibrugarh,Assam,India,Deogharia No.2,,Deogharia,291821,2067,286,18,1.01203353,Village,Rural,1286618.42746604,6138.59960642863,"18637",346119.415418556,0.463
326,205205,"182862063234706",Deori Gaon,Dibrugarh West,Dibrugarh,Assam,India,Deori Gaon,,Deori Gaon,291223,2063,286,18,"291223",4.70401129,Village,Rural,5982491.12758636,11409.5455165371,326,205205,"182862063234706",Deori Gaon,Dibrugarh West,Dibrugarh,Assam,India,Deori Gaon,,Deori Gaon,291223,2063,286,18,4.70401129,Village,Rural,5982491.12758636,11409.5455165371,"18637",337352.708725258,0.34
327,206427,"182862068235308",Deroi Alikinar,Tingkhong,Dibrugarh,Assam,India,Deroi Alikinar,,Deroi Alikinar,292099,2068,286,18,"292099",0.21982553,Village,Rural,279061.039734591,2507.51556264368,327,206427,"182862068235308",Deroi Alikinar,Tingkhong,Dibrugarh,Assam,India,Deroi Alikinar,,Deroi Alikinar,292099,2068,286,18,0.21982553,Village,Rural,279061.039734591,2507.51556264368,"18637",338641.704849917,0.358
328,206506,"182862068235303",Deroibam,Tingkhong,Dibrugarh,Assam,India,Deroibam No.79,,Deroibam,292185,2068,286,18,"292185",2.40261094,Village,Rural,3046621.33018396,7134.66869597131,328,206506,"182862068235303",Deroibam,Tingkhong,Dibrugarh,Assam,India,Deroibam No.79,,Deroibam,292185,2068,286,18,2.40261094,Village,Rural,3046621.33018396,7134.66869597131,"18637",333932.273571198,0.292
329,209888,"182862068235345",Deroi Darkhastar,Tingkhong,Dibrugarh,Assam,India,Deroi No.57 Darkhastar,,Deroi Darkhastar,292120,2068,286,18,"292120",3.23428564,Village,Rural,4103374.71629422,8056.28941665638,329,209888,"182862068235345",Deroi Darkhastar,Tingkhong,Dibrugarh,Assam,India,Deroi No.57 Darkhastar,,Deroi Darkhastar,292120,2068,286,18,3.23428564,Village,Rural,4103374.71629422,8056.28941665638,"18637",338995.483544803,0.363
330,212330,"182862067235715",Deroighat Block,Moran,Dibrugarh,Assam,India,Deroighat Block No.1,,Deroighat Block,291956,2067,286,18,"291956",0.24795715,Village,Rural,314089.903622919,3041.01037797972,330,212330,"182862067235715",Deroighat Block,Moran,Dibrugarh,Assam,India,Deroighat Block No.1,,Deroighat Block,291956,2067,286,18,0.24795715,Village,Rural,314089.903622919,3041.01037797972,"18637",316130.823470223,0.043
331,209886,"182862068235301",Deroi Grant,Tingkhong,Dibrugarh,Assam,India,Deroi Grant No.1,,Deroi Grant,292183,2068,286,18,"292183",5.47939188,Village,Rural,6949566.11757375,13502.2458689034,331,209886,"182862068235301",Deroi Grant,Tingkhong,Dibrugarh,Assam,India,Deroi Grant No.1,,Deroi Grant,292183,2068,286,18,5.47939188,Village,Rural,6949566.11757375,13502.2458689034,"18637",335634.301980794,0.316
332,206400,"182862068235343",Deroi T E,Tingkhong,Dibrugarh,Assam,India,Deroi T.E. 44/188,,Deroi T.E.,292182,2068,286,18,"292182",2.24470888,Village,Rural,2847240.39001647,6715.44097762604,332,206400,"182862068235343",Deroi T E,Tingkhong,Dibrugarh,Assam,India,Deroi T.E. 44/188,,Deroi T.E.,292182,2068,286,18,2.24470888,Village,Rural,2847240.39001647,6715.44097762604,"18637",337625.890824601,0.344
