fid,objectid,uid,name,subdistrict,district,state,country,censusname,villagename_locallang,lgd_villagename,lgd_villagecode,lgd_subdistrictcode,lgd_districtcode,lgd_statecode,censuscode2011,premiumdata.sde.VillageBoundary26.area,level_2011,tru_2011,st_area(shape),st_perimeter(shape),slope_mean
688,206320,"182862066235281",Kachari Pathar No 2,Tengakhat,Dibrugarh,Assam,India,Kachari Pathar No.2,,Kachari Pathar,291591,2066,286,18,"291591",1.64019867,Village,Rural,2087580.74685078,9275.2497170667,
689,206446,"182862069235541",Kachari Pather Gaon,Naharkatiya,Dibrugarh,Assam,India,Kachari Pather Gaon,,Kachari Pather Gaon,292414,2069,286,18,"292414",1.22522816,Village,Rural,1554822.05066576,7783.56631817857,
690,205345,"182862063234693",Kachomari Deori Gaon,Dibrugarh West,Dibrugarh,Assam,India,Kachomari Deori Gaon,,Kachomari Deori Gaon,291225,2063,286,18,"291225",0.93324802,Village,Rural,1187411.77033234,5977.52487836137,1
691,205245,"182862063234854",Kachomari Deori N C,Dibrugarh West,Dibrugarh,Assam,India,Kachomari Deori N.C.,,Kachomari Deori N.C.,291224,2063,286,18,"291224",1.03049275,Village,Rural,1310920.2022481,4393.33748664375,0.972519084014965
692,206677,"182862063234692",Kachomari Hatigar Gaon,Dibrugarh West,Dibrugarh,Assam,India,Kachomari Hatigar Gaon,,Kachomari Hatigar Gaon,291227,2063,286,18,"291227",1.18243172,Village,Rural,1504467.19470816,5524.45016735795,1
693,206710,"182862065235049",Kachuwani Gaon,Chabua,Dibrugarh,Assam,India,Kachuwani Gaon,,Kachuwani Gaon,291367,2065,286,18,"291367",1.60488873,Village,Rural,2048785.0790549,7279.43162469902,
694,205339,"182862064234945",Kadamani Grant Gaon,Dibrugarh East,Dibrugarh,Assam,India,Kadamani Grant Gaon No.39,,Kadamani Grant Gaon,291276,2064,286,18,"291276",2.38866399,Village,Rural,3048174.1807179,7490.86672727437,
695,206724,"182862068235487",Kadamoni,Tingkhong,Dibrugarh,Assam,India,Kadamoni,,Kadamoni,292019,2068,286,18,"292019",0.68888666,Village,Rural,875612.795415512,4742.7898929707,
696,206640,"182862065235014",Kadamoni Gaon,Chabua,Dibrugarh,Assam,India,Kadamoni Gaon,,Kadamoni Gaon,291446,2065,286,18,"291446",0.851273,Village,Rural,1085716.20930769,4708.43711796242,
697,205255,"182862068235348",Kakawani Block,Tingkhong,Dibrugarh,Assam,India,Kakawani Block,,Kakawani Block,292118,2068,286,18,"292118",1.61650068,Village,Rural,2051769.57931951,6573.05469985268,
698,205408,"182862069235558",Kakojan Habi Gaon,Naharkatiya,Dibrugarh,Assam,India,Kakojan Habi Gaon,,Kakojan Habi Gaon,292396,2069,286,18,"292396",0.80974673,Village,Rural,1027828.54147609,5774.33876333536,
699,206481,"182862067235920",Kalalur,Moran,Dibrugarh,Assam,India,Kalalur,,Kalalur,291862,2067,286,18,"291862",0.49076066,Village,Rural,622661.502749588,5406.89992122242,1
700,206403,"182862067235922",Kalalur Block,Moran,Dibrugarh,Assam,India,Kalalur Block No.2,,Kalalur Block,291861,2067,286,18,"291861",1.15129976,Village,Rural,1460784.49754925,5575.68480765511,1
701,206360,"182862067235924",Kalalur Koch,Moran,Dibrugarh,Assam,India,Kalalur Koch,,Kalalur Koch,291863,2067,286,18,"291863",1.49791165,Village,Rural,1900317.32900623,7229.50162942391,1
702,206507,"182862067235918",Kalalur Namdang No 1,Moran,Dibrugarh,Assam,India,Kalalur Namdang No.1,,Kalalur Namdang,291922,2067,286,18,"291922",0.88010366,Village,Rural,1116571.65667097,5034.647712457,1
703,211441,"182862067235917",Kalalur Namdang No 2,Moran,Dibrugarh,Assam,India,Kalalur Namdang No.2,,Kalalur Namdang,291921,2067,286,18,"291921",0.7513106,Village,Rural,953021.716835133,5709.65500714182,1
704,206390,"182862063234806",Kalatomoni Gaon,Dibrugarh West,Dibrugarh,Assam,India,Kalatomoni Gaon,,Kalatomoni Gaon,291077,2063,286,18,"291077",2.88589754,Village,Rural,3674329.97021726,10887.6755741382,1
705,205335,"182862063234685",Kamakhya Gaon,Dibrugarh West,Dibrugarh,Assam,India,Kamakhya Gaon,,Kamakhya Gaon,291153,2063,286,18,"291153",2.03647659,Village,Rural,2593154.54006796,7805.30446131739,1
706,205097,"182862067235890",Kamaldoi Betbari,Moran,Dibrugarh,Assam,India,Kamaldoi Betbari,,Kamaldoi Betbari,291938,2067,286,18,"291938",2.89852296,Village,Rural,3675024.02568038,9021.23179697186,1
