fid,objectid,uid,name,subdistrict,district,state,country,censusname,villagename_locallang,lgd_villagename,lgd_villagecode,lgd_subdistrictcode,lgd_districtcode,lgd_statecode,censuscode2011,premiumdata.sde.VillageBoundary26.area,level_2011,tru_2011,st_area(shape),st_perimeter(shape),slope_mean
255,206701,"182862065234958",Charai Chungi,Chabua,Dibrugarh,Assam,India,Charai Chungi,,Charai Chungi,291469,2065,286,18,"291469",0.61607072,Village,Rural,785010.764293531,3956.83120252854,
256,206704,"182862065234957",Charai Chungi Habi,Chabua,Dibrugarh,Assam,India,Charai Chungi Habi,,Charai Chungi Habi,291463,2065,286,18,"291463",1.58381683,Village,Rural,2018362.73819649,6556.98539038576,
257,205435,"182862067235808",Charaihabi,Moran,Dibrugarh,Assam,India,No.2 Charaihabi,,Charaihabi,291741,2067,286,18,"291741",2.51485016,Village,Rural,3198144.09716997,9026.35143559214,1
258,210890,"182862067235810",Charaihabi Gaon No 1,Moran,Dibrugarh,Assam,India,Charaihabi Gaon No.1,,Charaihabi Gaon,291739,2067,286,18,"291739",7.04305942,Village,Rural,8960498.35071451,14926.6824492512,0.953196099752465
259,206663,"182862067235809",Charaihabi Gaon No 3,Moran,Dibrugarh,Assam,India,Charaihabi Gaon No.3,,Charaihabi Gaon,291740,2067,286,18,"291740",1.02400225,Village,Rural,1302255.81562384,4870.88124078543,1
260,206324,"182862066235073",Charai Pung F V,Tengakhat,Dibrugarh,Assam,India,Charai Pung F/V,,Charai Pung F/V,291701,2066,286,18,"291701",3.46837817,Village,Rural,4412812.54871143,10014.5056328122,
261,211364,"182862065235064",Charaki Chapori,Chabua,Dibrugarh,Assam,India,Charaki Chapori,,Charaki Chapori,291364,2065,286,18,"291364",0.43321493,Village,Rural,554282.275665602,3800.31722036009,
262,206628,"182862068235439",Charang Pather Charing Pather,Tingkhong,Dibrugarh,Assam,India,Charang Pather (Charing Pather,,Charang Pather (Charing Pather,292079,2068,286,18,"292079",4.25102247,Village,Rural,5398700.77350305,9581.43074109467,
263,206545,"182862063234727",Chari Banhi Gaon,Dibrugarh West,Dibrugarh,Assam,India,Chari Banhi Gaon,,Chari Banhi Gaon,291195,2063,286,18,"291195",3.15063747,Village,Rural,4001909.56471381,10831.6874229035,1
264,211237,"182862063234725",Chari Banhi Hingari Gaon,Dibrugarh West,Dibrugarh,Assam,India,Chari Banhi Hingari Gaon,,Chari Banhi Hingari Gaon,291194,2063,286,18,"291194",0.53896975,Village,Rural,684607.854312372,3595.04039167746,1
265,206714,"182862065235068",Charkhalia Chapori,Chabua,Dibrugarh,Assam,India,Charkhalia Chapori,,Charkhalia Chapori,291358,2065,286,18,"291358",8.1223281,Village,Rural,10382906.5276632,18889.9288851511,0.382692308714375
266,206715,"182862065235066",Charkhalia Chapori,Chabua,Dibrugarh,Assam,India,Charkhalia Chapori,,Charkhalia Chapori,291360,2065,286,18,"291360",3.90146851,Village,Rural,4991322.68281064,13948.2866911161,
267,205507,"182862064234932",Chaulkhowa Grant Gaon,Dibrugarh East,Dibrugarh,Assam,India,Chaulkhowa Grant Gaon,,Chaulkhowa Grant Gaon,291283,2064,286,18,"291283",3.05985199,Village,Rural,3902282.76377991,7992.6819000306,0.997777777781457
268,205279,"182862068235394",Chauwani,Tingkhong,Dibrugarh,Assam,India,Chauwani,,Chauwani,292213,2068,286,18,"292213",0.96268107,Village,Rural,1221256.21100474,5946.75750481659,
269,205442,"182862063234838",Chawolkhowa Charaihabi Gaon,Dibrugarh West,Dibrugarh,Assam,India,Chawolkhowa Charaihabi Gaon,,Chawolkhowa Charaihabi Gaon,291066,2063,286,18,"291066",6.32475374,Village,Rural,8050435.22596758,17634.5633553178,0.700000000496705
270,211461,"182862063234837",Chawolkhowa N C,Dibrugarh West,Dibrugarh,Assam,India,Chawolkhowa N.C.,,Chawolkhowa N.C.,291067,2063,286,18,"291067",0.94625505,Village,Rural,1204609.15462117,5589.52578698291,1
271,205427,"182862069235661",Cheleng,Naharkatiya,Dibrugarh,Assam,India,Cheleng,,Cheleng,292303,2069,286,18,"292303",1.10150262,Village,Rural,1399683.87989658,4902.05398175374,
272,205305,"182862069235628",Cheleng Chuk,Naharkatiya,Dibrugarh,Assam,India,Cheleng Chuk,,Cheleng Chuk,292299,2069,286,18,"292299",0.94597548,Village,Rural,1202081.94763172,5784.09096699373,
273,210339,"182862065235047",Chengdhora,Chabua,Dibrugarh,Assam,India,Chengdhora,,Chengdhora,291379,2065,286,18,"291379",0.99786075,Village,Rural,1273491.25248007,4797.06168204998,
274,205172,"182862065235046",Chengdhora T E,Chabua,Dibrugarh,Assam,India,Chengdhora T.E.,,Chengdhora T.E.,291381,2065,286,18,"291381",2.18351434,Village,Rural,2786395.76267983,6670.99311813332,
275,205533,"182862069235658",Chengelijan,Naharkatiya,Dibrugarh,Assam,India,Chengelijan,,Chengelijan,292302,2069,286,18,"292302",1.81131461,Village,Rural,2302013.74121897,8744.25487400646,
276,206668,"182862069235533",Chengelijan,Naharkatiya,Dibrugarh,Assam,India,Chengelijan,,Chengelijan,292333,2069,286,18,"292333",1.35748776,Village,Rural,1725328.74637783,6233.50461596617,
277,206333,"182862069235652",Chengelijan Habi No 1,Naharkatiya,Dibrugarh,Assam,India,Chengelijan Habi No.1,,Chengelijan Habi,292306,2069,286,18,"292306",1.35850754,Village,Rural,1726702.46228954,6012.48936976492,
278,206605,"182862069235660",Chengelijan Habi No 2,Naharkatiya,Dibrugarh,Assam,India,Chengelijan Habi No.2,,Chengelijan Habi,292300,2069,286,18,"292300",0.70357052,Village,Rural,894137.936206782,4910.49315646811,
279,206753,"182862064234897",Chenglijan,Dibrugarh East,Dibrugarh,Assam,India,Chenglijan,,Chenglijan,291328,2064,286,18,"291328",2.4210392,Village,Rural,3084235.88215354,7525.30000626044,
280,205366,"182862067235821",Chenimari Gaon,Moran,Dibrugarh,Assam,India,Chenimari Gaon,,Chenimari Gaon,291724,2067,286,18,"291724",4.56711109,Village,Rural,5806536.23180136,12909.4544316193,1
281,206563,"182862066235251",Chercheria Jan,Tengakhat,Dibrugarh,Assam,India,Chercheria Jan,,Chercheria Jan,291595,2066,286,18,"291595",1.48998855,Village,Rural,1896623.84597312,7107.70186870327,
282,206656,"182862069235585",Cherepajan Bangali,Naharkatiya,Dibrugarh,Assam,India,Cherepajan Bangali,,Cherepajan Bangali,292345,2069,286,18,"292345",0.8812375,Village,Rural,1119930.75713396,4612.7082741903,
283,206295,"182862069235638",Cherepajan Pather Gaon,Naharkatiya,Dibrugarh,Assam,India,Cherepajan Pather Gaon,,Cherepajan Pather Gaon,292347,2069,286,18,"292347",0.24487803,Village,Rural,311224.562276999,2618.00881044807,
284,205465,"182862065235020",Chetia Gaon,Chabua,Dibrugarh,Assam,India,Chetia Gaon,,Chetia Gaon,291418,2065,286,18,"291418",1.86421258,Village,Rural,2378581.33256949,7773.01804040664,
285,206466,"182862067235997",Chetia Gaon,Moran,Dibrugarh,Assam,India,Chetia Gaon,,Chetia Gaon,291708,2067,286,18,"291708",2.02293196,Village,Rural,2570046.78243415,7881.73696302379,1
286,210919,"182862065234966",Chetia Pathar,Chabua,Dibrugarh,Assam,India,Chetia Pathar,,Chetia Pathar,291454,2065,286,18,"291454",0.72334252,Village,Rural,922214.790562114,4649.61283740007,
287,205149,"182862066235110",Chetia Pather,Tengakhat,Dibrugarh,Assam,India,Chetia Pather,,Chetia Pather,291589,2066,286,18,"291589",0.40594634,Village,Rural,516544.78815967,2937.83875550788,
288,206718,"182862066235107",Chetia Pather No 1,Tengakhat,Dibrugarh,Assam,India,Chetia Pather No.1,,Chetia Pather,291669,2066,286,18,"291669",0.64406868,Village,Rural,819621.041895216,4007.27064783841,
289,206498,"182862066235276",Chirika Beel,Tengakhat,Dibrugarh,Assam,India,Chirika Beel,,Chirika Beel,291672,2066,286,18,"291672",0.27608591,Village,Rural,351251.116611519,2760.29427596433,
290,206378,"182862064234865",Chiring Hula No 1,Dibrugarh East,Dibrugarh,Assam,India,Chiring Hula No.1,,Chiring Hula,291336,2064,286,18,"291336",2.49105061,Village,Rural,3172698.80484703,8283.13733228626,
291,210917,"182862064234866",Chiring Hula No 2,Dibrugarh East,Dibrugarh,Assam,India,Chiring Hula No.2,,Chiring Hula,291335,2064,286,18,"291335",1.55105559,Village,Rural,1975463.45122918,6324.48731740597,
292,205447,"182862066235283",Chiringkhat,Tengakhat,Dibrugarh,Assam,India,Chiringkhat,,Chiringkhat,291506,2066,286,18,"291506",1.36566281,Village,Rural,1738473.41127607,6156.70760395825,
293,206719,"182862066235070",Chiring Khat,Tengakhat,Dibrugarh,Assam,India,No.2 Chiring Khat,,Chiring Khat,291593,2066,286,18,"291593",1.1625458,Village,Rural,1480166.32620171,4824.09554997551,
294,206354,"182862066235231",Chowdang Gaon,Tengakhat,Dibrugarh,Assam,India,Chowdang Gaon,,Chowdang Gaon,291659,2066,286,18,"291659",2.37458281,Village,Rural,3022359.34877659,8490.68113069561,
295,205491,"182862063234670",Chring Gaon,Dibrugarh East,Dibrugarh,Assam,India,Chring Gaon,,Chring Gaon,291089,2064,286,18,"291089",2.24956192,Village,Rural,2868194.05205515,7458.65288293825,1
296,210772,"182862065235332",Chukan Chapori,Chabua,Dibrugarh,Assam,India,Chukan Chapori,,Chukan Chapori,291361,2065,286,18,"291361",1.60651507,Village,Rural,2056465.849761,7945.13469050304,
297,206392,"182862065234979",Chungichuk,Chabua,Dibrugarh,Assam,India,Chungichuk,,Chungichuk,291432,2065,286,18,"291432",2.39914509,Village,Rural,3061481.06323669,9583.85311409904,
298,205449,"182862066235226",Chungigaon,Tengakhat,Dibrugarh,Assam,India,Chungigaon,,Chungigaon,291486,2066,286,18,"291486",2.64195083,Village,Rural,3364829.51346209,8038.63144654499,
299,206348,"182862066235221",Chungi Pathar Gaon,Tengakhat,Dibrugarh,Assam,India,Chungi Pathar Gaon,,Chungi Pathar Gaon,291609,2066,286,18,"291609",2.49606468,Village,Rural,3178254.53037159,7534.54688111837,
300,206776,"182862068235438",Churatonibam,Tingkhong,Dibrugarh,Assam,India,Churatonibam,,Churatonibam,292080,2068,286,18,"292080",2.28031863,Village,Rural,2895616.75222792,7839.49336345387,
301,205278,"182862068235365",Dachuk Bokalial Bakabat,Tingkhong,Dibrugarh,Assam,India,Dachuk Bokalial (Bakabat),,Dachuk Bokalial (Bakabat),292194,2068,286,18,"292194",2.1594445,Village,Rural,2738468.44738553,7720.14558850784,
302,212362,"182862065235004",Dadhia F V,Chabua,Dibrugarh,Assam,India,Dadhia F.V.,,Dadhia F.V.,291479,2065,286,18,"291479",21.14023087,Village,Rural,27021265.0154468,33067.6475678756,
303,205357,"182862066235164",Da Hukuta,Tengakhat,Dibrugarh,Assam,India,Da-Hukuta,,Da-Hukuta,291576,2066,286,18,"291576",1.75188927,Village,Rural,2228999.65494581,7332.55146108951,
304,205268,"182862063234788",Dainijan Gaon,Dibrugarh West,Dibrugarh,Assam,India,Dainijan Gaon,,Dainijan Gaon,291110,2063,286,18,"291110",1.62400767,Village,Rural,2069227.84559082,6411.15184746646,1
305,212326,"182862069235670",Dalamuri,Naharkatiya,Dibrugarh,Assam,India,Dalamuri,,Dalamuri,292261,2069,286,18,"292261",0.4069271,Village,Rural,517515.955744086,3867.85254170232,
306,205522,"182862069235671",Dalamuri No 2,Naharkatiya,Dibrugarh,Assam,India,Dalamuri No.2,,Dalamuri,292260,2069,286,18,"292260",2.72433508,Village,Rural,3465409.66787768,9363.79380220925,
307,206351,"182862067236005",Dalanikur Gaon Dalanikur Kuma,Moran,Dibrugarh,Assam,India,Dalanikur Gaon (Dalanikur Kuma,,Dalanikur Gaon (Dalanikur Kuma,291712,2067,286,18,"291712",0.73206923,Village,Rural,930162.733575736,6021.0452032182,1
308,206645,"182862067235713",Dalanikur Kumar Gaon,Moran,Dibrugarh,Assam,India,Dalanikur Kumar Gaon,,Dalanikur Kumar Gaon,291713,2067,286,18,"291713",2.51212029,Village,Rural,3192179.84179903,7938.20725388969,0.997264437694499
309,205251,"182862068235296",Dalapa,Tingkhong,Dibrugarh,Assam,India,Dalapa,,Dalapa,292105,2068,286,18,"292105",3.20575828,Village,Rural,4069119.02931177,8800.27893057263,1
310,205181,"182862068235405",Dangalpara Dangatpara,Tingkhong,Dibrugarh,Assam,India,Dangalpara (Dangatpara),,Dangalpara (Dangatpara),292196,2068,286,18,"292196",1.09254497,Village,Rural,1385401.67846627,5112.22385022739,
311,205467,"182862065235003",Dangar Chuk,Chabua,Dibrugarh,Assam,India,Dangar Chuk,,Dangar Chuk,291421,2065,286,18,"291421",2.07045067,Village,Rural,2642323.38165923,6466.78550038754,
312,211502,"182862064234872",Dangar Pothar No 1,Dibrugarh East,Dibrugarh,Assam,India,Dangar Pothar No.1,,Dangar Pothar,291345,2064,286,18,"291345",0.84579985,Village,Rural,1076885.33749629,5052.64987257162,
313,206739,"182862064234871",Dangar Pothar No 2,Dibrugarh East,Dibrugarh,Assam,India,Dangar Pothar No.2,,Dangar Pothar,291346,2064,286,18,"291346",2.00190298,Village,Rural,2548974.95262917,6789.29576047892,
314,211444,"182862067235909",Dehingia Gaon,Moran,Dibrugarh,Assam,India,Dehingia Gaon,,Dehingia Gaon,291934,2067,286,18,"291934",1.08128231,Village,Rural,1371322.36899301,6845.88836882335,1
315,210530,"182862067235949",Demowkinar,Moran,Dibrugarh,Assam,India,Demowkinar,,Demowkinar,291851,2067,286,18,"291851",0.50949522,Village,Rural,646490.29472628,3950.44894814977,1
316,211458,"182862067235945",Demowkinar Bongali,Moran,Dibrugarh,Assam,India,Demowkinar Bongali,,Demowkinar Bongali,291871,2067,286,18,"291871",0.95431099,Village,Rural,1211337.89441663,4815.40534152968,1
317,210571,"182862067235952",Demowkinar Changmai,Moran,Dibrugarh,Assam,India,Demowkinar Changmai,,Demowkinar Changmai,291870,2067,286,18,"291870",2.56973769,Village,Rural,3261386.44801094,8461.66681029397,1
318,211912,"182862066235208",Deobil Gaon,Tengakhat,Dibrugarh,Assam,India,Deobil Gaon,,Deobil Gaon,291613,2066,286,18,"291613",3.19094402,Village,Rural,4060505.47335052,9434.61378635952,
319,211518,"182862069235676",Deodhai,Naharkatiya,Dibrugarh,Assam,India,Deodhai,,Deodhai,292256,2069,286,18,"292256",0.84963018,Village,Rural,1080647.05170991,6056.46235462985,
320,205100,"182862067235910",Deodhai Bangali,Moran,Dibrugarh,Assam,India,Deodhai Bangali,,Deodhai Bangali,291942,2067,286,18,"291942",1.82800577,Village,Rural,2318049.3463424,6948.07983256344,1
321,205270,"182862065235012",Deodhai Kopowhuwa,Chabua,Dibrugarh,Assam,India,Deodhai Kopowhuwa,,Deodhai Kopowhuwa,291435,2065,286,18,"291435",2.26390298,Village,Rural,2888343.93635729,8452.24831285911,
322,206790,"182862069235709",Deodhai No 2,Naharkatiya,Dibrugarh,Assam,India,Deodhai No.2,,Deodhai,292255,2069,286,18,"292255",1.40385297,Village,Rural,1785634.27515163,8077.94773227905,
323,205453,"182862066235244",Deogharia,Tengakhat,Dibrugarh,Assam,India,Deogharia,,Deogharia,291492,2066,286,18,"291492",1.91012086,Village,Rural,2433023.09020128,6010.84954949559,
324,205227,"182862067235747",Deogharia No 1,Moran,Dibrugarh,Assam,India,Deogharia No.1,,Deogharia,291822,2067,286,18,"291822",1.75475256,Village,Rural,2230557.77414821,6539.10970231028,
325,205122,"182862067235748",Deogharia No 2,Moran,Dibrugarh,Assam,India,Deogharia No.2,,Deogharia,291821,2067,286,18,"291821",1.01203353,Village,Rural,1286618.42746604,6138.59960642863,
326,205205,"182862063234706",Deori Gaon,Dibrugarh West,Dibrugarh,Assam,India,Deori Gaon,,Deori Gaon,291223,2063,286,18,"291223",4.70401129,Village,Rural,5982491.12758636,11409.5455165371,0.983902439051043
327,206427,"182862068235308",Deroi Alikinar,Tingkhong,Dibrugarh,Assam,India,Deroi Alikinar,,Deroi Alikinar,292099,2068,286,18,"292099",0.21982553,Village,Rural,279061.039734591,2507.51556264368,
328,206506,"182862068235303",Deroibam,Tingkhong,Dibrugarh,Assam,India,Deroibam No.79,,Deroibam,292185,2068,286,18,"292185",2.40261094,Village,Rural,3046621.33018396,7134.66869597131,1
329,209888,"182862068235345",Deroi Darkhastar,Tingkhong,Dibrugarh,Assam,India,Deroi No.57 Darkhastar,,Deroi Darkhastar,292120,2068,286,18,"292120",3.23428564,Village,Rural,4103374.71629422,8056.28941665638,
330,212330,"182862067235715",Deroighat Block,Moran,Dibrugarh,Assam,India,Deroighat Block No.1,,Deroighat Block,291956,2067,286,18,"291956",0.24795715,Village,Rural,314089.903622919,3041.01037797972,1
331,209886,"182862068235301",Deroi Grant,Tingkhong,Dibrugarh,Assam,India,Deroi Grant No.1,,Deroi Grant,292183,2068,286,18,"292183",5.47939188,Village,Rural,6949566.11757375,13502.2458689034,
332,206400,"182862068235343",Deroi T E,Tingkhong,Dibrugarh,Assam,India,Deroi T.E. 44/188,,Deroi T.E.,292182,2068,286,18,"292182",2.24470888,Village,Rural,2847240.39001647,6715.44097762604,
333,209889,"182862068235347",Deroi T E Co No 3 Darkhastor,Tingkhong,Dibrugarh,Assam,India,Deroi T.E. Co.No.3 Darkhastor,,Deroi T.E. Co Darkhastor,292113,2068,286,18,"292113",2.04511536,Village,Rural,2595331.66799081,8191.8435434342,
334,206519,"182862068235342",Deroi T E Co No 8 Darkhastor,Tingkhong,Dibrugarh,Assam,India,Deroi T.E. Co.No.8 Darkhastor,,Deroi T.E. Co Darkhastor,292112,2068,286,18,"292112",2.39836901,Village,Rural,3042804.83141534,9273.58287273725,
335,211467,"182862063234744",Dewanbari Bagisha,Dibrugarh West,Dibrugarh,Assam,India,Dewanbari Bagisha,,Dewanbari Bagisha,291129,2063,286,18,"291129",0.77798961,Village,Rural,989240.306311797,4586.01200447265,1
336,211464,"182862063234851",Dewanbari Bagisha,Dibrugarh West,Dibrugarh,Assam,India,Dewanbari Bagisha 24/149 No.Grant,,Dewanbari Bagisha,291127,2063,286,18,"291127",0.47974411,Village,Rural,610060.011459091,3607.60183914283,1
337,205309,"182862063234742",Dewanbari Gaon,Dibrugarh West,Dibrugarh,Assam,India,Dewanbari Gaon,,Dewanbari Gaon,291126,2063,286,18,"291126",0.73151889,Village,Rural,930379.261965493,4299.02549728037,1
338,210668,"182862063234743",Dewanbari Kaibatra Gaon No 1,Dibrugarh West,Dibrugarh,Assam,India,Dewanbari Kaibatra Gaon No.1,,Dewanbari Kaibatra Gaon,291171,2063,286,18,"291171",1.93286221,Village,Rural,2458787.76817316,9199.81635492997,1
339,205490,"182862063234741",Dewanbari Kaibatra Gaon No 2,Dibrugarh West,Dibrugarh,Assam,India,Dewanbari Kaibatra Gaon No.2,,Dewanbari Kaibatra Gaon,291172,2063,286,18,"291172",1.42183918,Village,Rural,1808329.94459629,5759.57125139406,1
340,205488,"182862068235516",Dhadumia,Tingkhong,Dibrugarh,Assam,India,Dhadumia No.1,,Dhadumia,292148,2068,286,18,"292148",1.13095125,Village,Rural,1435911.59156343,5426.44495305986,
341,205224,"182862068235514",Dhadumia Bangali,Tingkhong,Dibrugarh,Assam,India,Dhadumia Bangali No.2,,Dhadumia Bangali,292150,2068,286,18,"292150",2.21481613,Village,Rural,2811500.89088875,7112.80478604189,
342,205192,"182862063234673",Dhakeri Gaon,Dibrugarh East,Dibrugarh,Assam,India,Dhakeri Gaon,,Dhakeri Gaon,291095,2064,286,18,"291095",1.56102896,Village,Rural,1990454.89084104,6726.5116944201,1
343,210518,"182862068235524",Dhamon,Tingkhong,Dibrugarh,Assam,India,Dhamon No.2,,Dhamon,292015,2068,286,18,"292015",2.4949511,Village,Rural,3171982.00449391,7709.95026915154,
344,210900,"182862066235210",Dharia Gaon,Tengakhat,Dibrugarh,Assam,India,Dharia Gaon,,Dharia Gaon,291621,2066,286,18,"291621",1.96631695,Village,Rural,2502913.03993638,6129.70377614416,
345,206454,"182862063234681",Dhariatoli Gaon,Dibrugarh West,Dibrugarh,Assam,India,Dhariatoli Gaon,,Dhariatoli Gaon,291151,2063,286,18,"291151",0.59155427,Village,Rural,753334.092261036,4294.50130073364,1
346,206685,"182862066235150",Dhekiajan Gaon No 1,Tengakhat,Dibrugarh,Assam,India,Dhekiajan Gaon No.1,,Dhekiajan Gaon,291540,2066,286,18,"291540",1.70370642,Village,Rural,2167938.5741126,8745.21735842429,
347,206597,"182862066235141",Dhekiajan Gaon No 2,Tengakhat,Dibrugarh,Assam,India,Dhekiajan Gaon No.2,,Dhekiajan Gaon,291541,2066,286,18,"291541",0.55217188,Village,Rural,702530.483735005,3495.12121330575,
348,206780,"182862067235906",Dhemechi Gaon,Moran,Dibrugarh,Assam,India,Dhemechi Gaon,,Dhemechi Gaon,291932,2067,286,18,"291932",1.49275144,Village,Rural,1893555.18715983,8388.85081940227,1
349,210579,"182862067235911",Dhemechi Haladhibari,Moran,Dibrugarh,Assam,India,Dhemechi Haladhibari,,Dhemechi Haladhibari,291933,2067,286,18,"291933",2.60050981,Village,Rural,3298476.72108974,8600.44007448637,1
350,206540,"182862068235482",Dhomon,Tingkhong,Dibrugarh,Assam,India,Dhomon No.1`,,Dhomon`,292024,2068,286,18,"292024",2.16755693,Village,Rural,2755129.09625215,7360.53881986043,
351,205353,"182862065235029",Dhopabor Gaon,Chabua,Dibrugarh,Assam,India,Dhopabor Gaon,,Dhopabor Gaon,291387,2065,286,18,"291387",2.36647277,Village,Rural,3020668.54111785,7646.92986112081,
352,205183,"182862068235402",Dhowa Pather No 1,Tingkhong,Dibrugarh,Assam,India,Dhowa Pather No.1,,Dhowa Pather,292200,2068,286,18,"292200",2.94236603,Village,Rural,3731508.85919942,10551.7595192662,
353,209879,"182862068235374",Dhowa Pather No 2,Tingkhong,Dibrugarh,Assam,India,Dhowa Pather No.2,,Dhowa Pather,292226,2068,286,18,"292226",2.4402178,Village,Rural,3093897.93696253,12170.8705777141,
354,211666,"182862068235825",Dhowa Pather No 3,Tingkhong,Dibrugarh,Assam,India,Dhowa Pather No.3,,Dhowa Pather,292201,2068,286,18,"292201",0.10891977,Village,Rural,138160.592378775,1961.14480915643,
355,206577,"182862065235333",Dhumkala Chapori,Chabua,Dibrugarh,Assam,India,Dhumkala Chapori,,Dhumkala Chapori,291359,2065,286,18,"291359",1.10204173,Village,Rural,1410076.49830188,4511.00396232835,
356,206402,"182862068235350",Dhunahula Bamon,Tingkhong,Dibrugarh,Assam,India,Dhunahula Bamon,,Dhunahula Bamon,292125,2068,286,18,"292125",1.0285674,Village,Rural,1305230.4400313,4692.03068682922,
357,206793,"182862069235685",Dhunda Nahar No 1,Naharkatiya,Dibrugarh,Assam,India,Dhunda Nahar No.1,,Dhunda Nahar,292271,2069,286,18,"292271",0.43440426,Village,Rural,552367.656489182,4134.57978160585,
358,206472,"182862069235679",Dhunda Nahar No 2,Naharkatiya,Dibrugarh,Assam,India,Dhunda Nahar No.2,,Dhunda Nahar,292270,2069,286,18,"292270",0.72661001,Village,Rural,923928.031638333,5396.61051526308,
359,206728,"182862064234923",Dibrual Changmai,Dibrugarh East,Dibrugarh,Assam,India,Dibrual Changmai,,Dibrual Changmai,291303,2064,286,18,"291303",1.59971044,Village,Rural,2039169.79123627,6456.80992719998,1
360,205463,"182862064234938",Dibrugarh Mb,Dibrugarh East,Dibrugarh,Assam,India,Dibrugarh (MB + OG) (Part),,Dibrugarh,249896,2064,286,18,"801586",8.74006218,Town,Urban,11147719.1036677,16866.4539244272,0.964566929192524
361,211684,"182862063246021",Dibrugarh Mb,Dibrugarh East,Dibrugarh,Assam,India,Dibrugarh (MB + OG) (Part),,Dibrugarh,249896,2064,286,18,"801586",0.71863023,Town,Urban,916423.930679533,4327.70783061668,1
362,205359,"182862063234797",Dibuwal Dihingia Gaon,Dibrugarh West,Dibrugarh,Assam,India,Dibuwal Dihingia Gaon,,Dibuwal Dihingia Gaon,291115,2063,286,18,"291115",2.2338028,Village,Rural,2845470.66772022,7364.05845436878,1
363,206313,"182862068235339",Dichang Block,Tingkhong,Dibrugarh,Assam,India,Dichang Block,,Dichang Block,292114,2068,286,18,"292114",1.13440035,Village,Rural,1439942.57008534,5681.27299807219,
364,205362,"182862063234805",Digali Dalani Gaon,Dibrugarh West,Dibrugarh,Assam,India,Digali Dalani Gaon,,Digali Dalani Gaon,291122,2063,286,18,"291122",3.31241009,Village,Rural,4215505.8730714,9553.05113986545,1
365,205168,"182862066235123",Digboi Mukh,Tengakhat,Dibrugarh,Assam,India,Digboi Mukh,,Digboi Mukh,291685,2066,286,18,"291685",1.22241775,Village,Rural,1554340.89812289,5686.54501739411,
366,206329,"182862066235135",Digboi Pather,Tengakhat,Dibrugarh,Assam,India,Digboi Pather,,Digboi Pather,291694,2066,286,18,"291694",0.43403397,Village,Rural,551911.392021114,3167.79357340074,
367,205454,"182862063234791",Dighala Gaon,Dibrugarh West,Dibrugarh,Assam,India,Dighala Gaon,,Dighala Gaon,291084,2063,286,18,"291084",2.62196445,Village,Rural,3341956.19012412,8164.15008553169,0.910263929767343
368,212320,"182862069235596",Dighala Sonowal Gaon,Naharkatiya,Dibrugarh,Assam,India,Dighala Sonowal Gaon,,Dighala Sonowal Gaon,292352,2069,286,18,"292352",0.17257316,Village,Rural,219302.609045962,1975.63737288573,
369,211568,"182862067235868",Dighalia,Moran,Dibrugarh,Assam,India,Dighalia,,Dighalia,291975,2067,286,18,"291975",0.1171238,Village,Rural,148570.975609544,1742.33654041237,1
370,211450,"182862067235867",Dighalia Block,Moran,Dibrugarh,Assam,India,Dighalia Block,,Dighalia Block,291907,2067,286,18,"291907",0.68246434,Village,Rural,865888.370928245,3894.96841293346,1
371,205207,"182862069235682",Dighalia Gaon,Naharkatiya,Dibrugarh,Assam,India,Dighalia Gaon,,Dighalia Gaon,292272,2069,286,18,"292272",2.47472071,Village,Rural,3145980.78901241,9431.23776793774,
372,211119,"182862069235684",Dighalia Gaon No 2,Naharkatiya,Dibrugarh,Assam,India,Dighalia Gaon No.2,,Dighalia Gaon,292273,2069,286,18,"292273",3.35372697,Village,Rural,4262863.8946142,13549.5750447447,
373,206420,"182862066235214",Dighalia Hola Gaon,Tengakhat,Dibrugarh,Assam,India,Dighalia Hola Gaon,,Dighalia Hola Gaon,291614,2066,286,18,"291614",1.84338529,Village,Rural,2346210.9335066,7116.93481052813,
374,206568,"182862068235455",Dighalia No 1,Tingkhong,Dibrugarh,Assam,India,Dighalia No.1,,Dighalia,292048,2068,286,18,"292048",2.46381359,Village,Rural,3130051.46261473,10184.4135381235,
375,209900,"182862068235456",Dighalia No 2,Tingkhong,Dibrugarh,Assam,India,Dighalia No.2,,Dighalia,292049,2068,286,18,"292049",0.57037816,Village,Rural,724442.675071591,3829.1475397147,
376,205286,"182862068235309",Dighalia No 2,Tingkhong,Dibrugarh,Assam,India,Dighalia No.2,,Dighalia,292097,2068,286,18,"292097",4.35333711,Village,Rural,5527855.41038027,10349.375323954,
377,205137,"182862068235447",Dighalia No 3,Tingkhong,Dibrugarh,Assam,India,Dighalia No.3,,Dighalia,292070,2068,286,18,"292070",2.60472827,Village,Rural,3308579.06291191,10080.584252974,
378,205477,"182862065234984",Dighalibari,Chabua,Dibrugarh,Assam,India,Dighalibari,,Dighalibari,291427,2065,286,18,"291427",3.57545172,Village,Rural,4564404.11505385,10427.9278755087,
379,210349,"182862069235698",Dighali Bill,Naharkatiya,Dibrugarh,Assam,India,Dighali Bill No.1,,Dighali Bill,292243,2069,286,18,"292243",1.28876244,Village,Rural,1638979.63491489,5483.58193892018,
380,206542,"182862069235689",Dighali Block Gaon,Naharkatiya,Dibrugarh,Assam,India,Dighali Block Gaon,,Dighali Block Gaon,292279,2069,286,18,"292279",0.82998775,Village,Rural,1055053.46605987,5975.00558726802,
