village_name_pdf,circle,flood_class,pdf_page
Duwara Pather Gaon,naharkatiya,Moderate (9-12),166
Kakowani Block,tingkhong,Moderate (9-12),166
Dighalihola Gaon,tengakhat,Moderate (9-12),166
Kheroni No.2,tingkhong,Moderate (9-12),166
Parbatipur,tingkhong,Moderate (9-12),166
Sagunechowa No.1,tingkhong,Moderate (9-12),166
Latumoni,tingkhong,Moderate (9-12),166
Nalani Kopahua No.1,tingkhong,Moderate (9-12),166
Borbil Bakalial,tingkhong,Moderate (9-12),166
Ouphulia Ali Kiner,tingkhong,Moderate (9-12),166
Chakalia Pather,tingkhong,Moderate (9-12),166
Nagabat No.1,tingkhong,Moderate (9-12),166
Keheruguri,tingkhong,Moderate (9-12),166
Deroi Tea Co.No.3 Darkhasta,tingkhong,Moderate (9-12),166
Purani Sripuria,tingkhong,Moderate (9-12),166
Tipomia Dighalia,tingkhong,Moderate (9-12),166
Kathgaon,chabua,Low (5-8),166
Lararmukh Bakatial,tingkhong,Moderate (9-12),166
Longboi,tingkhong,Moderate (9-12),166
Barbari Bongali,chabua,Low (5-8),166
Dighalia No.3,tingkhong,Moderate (9-12),166
Ghahi Pather,tingkhong,Moderate (9-12),166
Sarupather Bongali,chabua,Low (5-8),166
Gerekoni No.3,tingkhong,Moderate (9-12),166
Diksam Kinar,tingkhong,Moderate (9-12),166
Nakoidhora Bongali,chabua,Low (5-8),166
Bhalukagari,tingkhong,Moderate (9-12),166
Tipomia No.1,tingkhong,Moderate (9-12),166
Gereki Nepali,chabua,Low (5-8),166
Bamunbari TE No.125 F.S.,tingkhong,Moderate (9-12),166
Kekuri Sonowal,tingkhong,Moderate (9-12),166
Bakulmaj Gaon(a),chabua,Low (5-8),166
Borkurukani,tingkhong,Moderate (9-12),166
Rajgarh T.E. 52/163,tingkhong,Moderate (9-12),166
Changmai Baruah Pather,chabua,Low (5-8),166
Grab TE 4/12/35,tingkhong,Moderate (9-12),166
Baghmara,tingkhong,Moderate (9-12),166
Balijan,chabua,Low (5-8),166
Phatingibar,tingkhong,Moderate (9-12),166
Naharpara Bakalial,tingkhong,Moderate (9-12),166
Moricha Kaibarta,chabua,Low (5-8),166
Dighalia No.2,tingkhong,Moderate (9-12),166
Tipomia Bangali,tingkhong,Moderate (9-12),166
Maijan Hindu Kadamoni Gaon,chabua,Low (5-8),166
Bajipahumora,tingkhong,Moderate (9-12),166
Salmari No.1,tingkhong,Moderate (9-12),166
Dinjan 104 No. F.S.,chabua,Low (5-8),166
Kenduguri No.2,tingkhong,Moderate (9-12),167
Raidangia Sheet Grazing,na,Moderate (9-12),167
Nagaon,chabua,Low (5-8),167
Lengeri No.3,tingkhong,Moderate (9-12),167
Gandhia Naharani Gaon,na,Moderate (9-12),167
Potolengamara,chabua,Low (5-8),167
Dungatpara,tingkhong,Moderate (9-12),167
Takela Bangali,na,Moderate (9-12),167
Garpara Gaon,chabua,Low (5-8),167
Dillibaril 15/2 NLR,tingkhong,Moderate (9-12),167
Bogoritolia Gaon,na,Moderate (9-12),167
Kharjan T.E. 156/259-232/240,chabua,Low (5-8),167
Pitha Pather,tingkhong,Moderate (9-12),167
Dumordolong No.1,na,Moderate (9-12),167
Warren T.E.252 NLR,chabua,Low (5-8),167
N.P.Lerela Pather No.2,tingkhong,Moderate (9-12),167
NC,na,Moderate (9-12),167
206/253 NLR (Sialkhati),chabua,Low (5-8),167
Betani No.1,tingkhong,Moderate (9-12),167
Dirai Ghat Block Gaon,na,Moderate (9-12),167
Hati Gadhoi,chabua,Low (5-8),167
Tenga Pather,tingkhong,Moderate (9-12),167
Bagibil Pather,na,Moderate (9-12),167
Tiyajalia Gaon,chabua,Low (5-8),167
Shukani Pather Block,tingkhong,Moderate (9-12),167
Rongmela T.E.,na,Moderate (9-12),167
Muluk Gaon,chabua,Low (5-8),167
Raidangia,tingkhong,Moderate (9-12),167
Kanji Khowa Gaon,na,Moderate (9-12),167
Chabua T.E.28 No.NLR,chabua,Low (5-8),167
Nachoni No.2,tingkhong,Moderate (9-12),167
Abhayapuria Bangali,na,Moderate (9-12),167
Balijan Paniera,chabua,Low (5-8),167
Rajgarh TE No.332 NLR,tingkhong,Moderate (9-12),167
Raidangia Gaon,na,Moderate (9-12),167
Bargadhoi,chabua,Low (5-8),167
Dhaman No.1,tingkhong,Moderate (9-12),167
Kalalur Namdang No.1,na,Moderate (9-12),167
Godhabahar Gaon,chabua,Low (5-8),167
Duchuk Bakobat,tingkhong,Moderate (9-12),167
Deohal T.E No.11 WL Block2,na,Moderate (9-12),167
Kasuwani Pather,chabua,Low (5-8),167
Lerela Pather No.1,tingkhong,Moderate (9-12),167
Mahmora Katoni,na,Moderate (9-12),167
Dikam Sessa 15/154 ORR,chabua,Low (5-8),167
Ranga Bamuni No.1,tingkhong,Moderate (9-12),167
BRAHMAPUTRA,na,Moderate (9-12),167
Dikam T.E.,chabua,Low (5-8),167
Nabhakatia No.2,tingkhong,Moderate (9-12),167
Matiye Khanda Gaon,na,Moderate (9-12),167
Titadimaru,dibrugarh east,Low (5-8),167
Naloni Kapahua No.2,tingkhong,Moderate (9-12),167
Dikhari 283 NLR Grant,na,Moderate (9-12),167
Harabari Grant 115 No.F.S.,dibrugarh east,Low (5-8),167
Simoluguri,tingkhong,Moderate (9-12),167
Dillibri 342 NLR,na,Moderate (9-12),167
Mohonbari 31/160 ORR,dibrugarh east,Low (5-8),167
Geraguri Chowdang No.2,tingkhong,Moderate (9-12),167
Kathalguri Chah Bagan 69,na,Moderate (9-12),167
Tamulbari T.E.,dibrugarh east,Low (5-8),167
Majpathas No.1,tingkhong,Moderate (9-12),167
Jun Gaon No.2,na,Moderate (9-12),167
219/217 NLR Grant (Romai),dibrugarh east,Low (5-8),167
Purani Konwari,tingkhong,Moderate (9-12),167
Hugrijan 116 F.S.,na,Moderate (9-12),167
Miripather 16 No. F.S.,dibrugarh east,Low (5-8),167
Gerekoni No.2,tingkhong,Moderate (9-12),167
Kalalur Namdang No.2,na,Moderate (9-12),167
Lahowal 19/155 ORR 7 No.NC,dibrugarh east,Low (5-8),167
Pawali Pather,tingkhong,Moderate (9-12),167
Podumoni No.1,na,Moderate (9-12),167
Mathala 5/142 ORR,dibrugarh east,Low (5-8),167
Na-Sripuria,tingkhong,Moderate (9-12),167
DIBRU R.F.,na,Moderate (9-12),167
Finluguri Grant 4/155 ORR,dibrugarh east,Low (5-8),167
Sriparia,tingkhong,Moderate (9-12),167
Singirajan No.1,na,Moderate (9-12),167
Basmotia,dibrugarh east,Low (5-8),167
Ouguri Kapahua No.2,tingkhong,Moderate (9-12),167
Phatikachowa Nepali,na,Moderate (9-12),167
Tamulbari T.E. 43/46 NLR,dibrugarh east,Low (5-8),167
Sukan Pather,tingkhong,Moderate (9-12),167
Kecheruguri No.1,na,Moderate (9-12),167
DIBRUGARH,dibrugarh east,Low (5-8),167
Sorojini,tingkhong,Moderate (9-12),167
Chetia Pather Gaon,na,Moderate (9-12),167
Behia Chetia Gaon,dibrugarh east,Low (5-8),167
Nachaudung,tingkhong,Moderate (9-12),167
Lohali,na,Moderate (9-12),167
Barbari 12/141 ORR,dibrugarh east,Low (5-8),167
Baghmara Powali Pather,tingkhong,Moderate (9-12),167
Chakli Bharalua,na,Moderate (9-12),167
Garukhunda,dibrugarh east,Low (5-8),167
Maijan Grant Gaon,dibrugarh east,Low (5-8),167
Kololrur Kuch,moran,Low (5-8),167
Maijan 1/178 ORR,dibrugarh east,Low (5-8),167
Sessakuch Gaon No.1,dibrugarh west,Low (5-8),167
Rangchali Block,moran,Low (5-8),167
Nagaghuli 1/177 ORR,dibrugarh east,Low (5-8),167
Bahbari No.2,dibrugarh west,Low (5-8),167
Rowmari No.3,moran,Low (5-8),167
Dibrugarh Town,dibrugarh east,Low (5-8),167
Hahchara Gaon,dibrugarh west,Low (5-8),167
Kawaimari No.2,moran,Low (5-8),167
Hatiali Habi,dibrugarh east,Low (5-8),167
Konwar Kheroni Gaon,dibrugarh west,Low (5-8),167
Borbam Block Gaon,moran,Low (5-8),167
26 No. F.S.Grant Chengelijan,dibrugarh east,Low (5-8),167
Dhargatoli Gaon,dibrugarh west,Low (5-8),167
Tetun Bari,moran,Low (5-8),167
Bakul T.E. 6 No.NC,dibrugarh east,Low (5-8),167
Changmai Garia Gaon,dibrugarh west,Low (5-8),167
Silisili Dimow Kiner,moran,Low (5-8),167
Jokai T.E. Co.29/143 ORR,dibrugarh east,Low (5-8),167
Bakulmaj Gaon(b),dibrugarh west,Low (5-8),167
Rang Chali Napali,moran,Low (5-8),167
Tekela Chiring Gaon,dibrugarh east,Low (5-8),167
Lengapather,dibrugarh west,Low (5-8),167
1 No. Rowmari,moran,Low (5-8),167
Mokalbari T.E.,dibrugarh east,Low (5-8),167
Nagakhalia Gaon,dibrugarh west,Low (5-8),167
Tarajan,moran,Low (5-8),167
Mohonbari Hindu Gaon,dibrugarh east,Low (5-8),167
Jakaitimora No. L.C.R.,dibrugarh west,Low (5-8),167
Kolowlowa Deorigaon,moran,Low (5-8),167
Niz Moidomia,dibrugarh east,Low (5-8),167
Wakhabi Gaon No.2,dibrugarh west,Low (5-8),167
Phatikachowa Ekorani,moran,Low (5-8),167
Khanikar Gaon,dibrugarh east,Low (5-8),167
Silputa No.5,moran,Low (5-8),167
Lahowal T.E.27/144 ORR Mattak,dibrugarh east,Low (5-8),167
Naharani Block Gaon,moran,Low (5-8),167
Hologuri Bidhi Block No.7,moran,Low (5-8),167
Nowjan No.2,dibrugarh west,Low (5-8),167
Chokalia No.2,moran,Low (5-8),167
Ranga Gorah No.2,moran,Low (5-8),167
Ghuraghus No.1,moran,Low (5-8),167
Dhemechi Holdhibari,moran,Low (5-8),167
Madhakali No.3,moran,Low (5-8),167
Gajpuria Bengali,moran,Low (5-8),167
Borboruah Gaon,dibrugarh west,Low (5-8),167
Teloibari Gaon,moran,Low (5-8),167
Chakalia Gaon,moran,Low (5-8),167
Janjimukh Gaon,dibrugarh west,Low (5-8),167
Duliabam Block,moran,Low (5-8),167
Goramarh Hatigarh,moran,Low (5-8),167
Balai Na-Gaon,dibrugarh west,Low (5-8),167
Ghuraghas No.3,moran,Low (5-8),167
Tetun Bari Borbam,moran,Low (5-8),167
Kath Gaon,dibrugarh west,Low (5-8),168
Teloijan No.1 Shahmiyadi,moran,Low (5-8),168
Dimorokiner Bongali,moran,Low (5-8),168
Chuta Bagpara TE 10/165 ORR(A),dibrugarh west,Low (5-8),168
Nahrani Bangali,moran,Low (5-8),168
Khowang 11/164 NLR Grant,moran,Low (5-8),168
Niz Khowang Domor Hulla,dibrugarh west,Low (5-8),168
Goriholi Chetia,moran,Low (5-8),168
Barbil Gaon,moran,Low (5-8),168
53 No. F.S.,dibrugarh west,Low (5-8),168
Duliabam Gaon,moran,Low (5-8),168
Goraimari Gaon,moran,Low (5-8),168
Hahchara Pather,dibrugarh west,Low (5-8),168
Natun Mazhi,moran,Low (5-8),168
Kollaloyahabi,moran,Low (5-8),168
Mohmari Gaon-1,dibrugarh west,Low (5-8),168
Telia Pather,moran,Low (5-8),168
Kenduguri No.3,moran,Low (5-8),168
Dulia Naharani Gaon,dibrugarh west,Low (5-8),168
Bamunbari 264 NLR Grant,moran,Low (5-8),168
sesa river,moran,Low (5-8),168
Dainijan Gaon,dibrugarh west,Low (5-8),168
Moina Gaon No.1,moran,Low (5-8),168
Ouguri Bangali,naharkatiya,Low (5-8),168
Kamakhya Gaon,dibrugarh west,Low (5-8),168
Dighala Sonwal Gaon,naharkatiya,Low (5-8),168
Bhurbhuri Gaon No.3,dibrugarh west,Low (5-8),168
Madhakali Grant No.128,moran,Low (5-8),168
Balijan No.2,naharkatiya,Low (5-8),168
Niz-Mankatta Gaon,dibrugarh west,Low (5-8),168
Chahari Kota N.C.Block 3,moran,Low (5-8),168
Chamaguri Gaon,naharkatiya,Low (5-8),168
Pani Gaon No.2,dibrugarh west,Low (5-8),168
Hunghugia No.3,moran,Low (5-8),168
Disang Chah Bagicha,naharkatiya,Low (5-8),168
Sessakuch Gaon No.2,dibrugarh west,Low (5-8),168
Moutani No.1,moran,Low (5-8),168
Hil Kachubam,naharkatiya,Low (5-8),168
Dhekeri Gaon,dibrugarh west,Low (5-8),168
Borbil Khaliahamari Gaon,moran,Low (5-8),168
Lengerijan Chah Bagicha,naharkatiya,Low (5-8),168
Lapat Kata Bengali Gaon,dibrugarh west,Low (5-8),168
Teloijan Darkhasta No.26,moran,Low (5-8),168
Gethu Pather,naharkatiya,Low (5-8),168
Bhurbhuri Gaon,dibrugarh west,Low (5-8),168
Dishang Kinar,naharkatiya,Low (5-8),168
Banti Chah Bagan-78,naharkatiya,Low (5-8),168
Gabharujan gaon No.2,dibrugarh west,Low (5-8),168
Taratali Pather,naharkatiya,Low (5-8),168
Tanti Pather,naharkatiya,Low (5-8),168
"Ghuronia Grant 181,184 91/97 N",dibrugarh west,Low (5-8),168
Tipam gaon,naharkatiya,Low (5-8),168
Uriamguri,naharkatiya,Low (5-8),168
Ghoramora & Chawra Gaon,dibrugarh west,Low (5-8),168
Abhoipuria Gaon,naharkatiya,Low (5-8),168
Himalubam,naharkatiya,Low (5-8),168
Deori Gaon,dibrugarh west,Low (5-8),168
Kachari Pather Gaon,naharkatiya,Low (5-8),168
Ghuguloni Da-Pather,naharkatiya,Low (5-8),168
Changamari Habi,dibrugarh west,Low (5-8),168
Tokoubil No.2,naharkatiya,Low (5-8),168
Balijan Maji,naharkatiya,Low (5-8),168
Lepet Kata Bengali Block,dibrugarh west,Low (5-8),168
Godhabil No.2(Chamaguri),naharkatiya,Low (5-8),168
Juria Pukhuri,naharkatiya,Low (5-8),168
Deodhai,naharkatiya,Low (5-8),168
Kunduguri TE,tingkhong,Low (5-8),168
Naharkatia Chah Bagicha,naharkatiya,Low (5-8),168
Borkhermia Gaon No.1,naharkatiya,Low (5-8),168
Kekuri Bangali,tingkhong,Low (5-8),168
Achabam Chah (No Appl) Bagicha,naharkatiya,Low (5-8),168
Hindu gaon,naharkatiya,Low (5-8),168
Barbil No.1,tingkhong,Low (5-8),168
Longjang,naharkatiya,Low (5-8),168
Rangagah Nepali,tengakhat,Low (5-8),168
Dalopa,tingkhong,Low (5-8),168
Basajan,naharkatiya,Low (5-8),168
Kachari Pather No.2,tengakhat,Low (5-8),168
Borbil No.2,tingkhong,Low (5-8),168
Naharkatia Kaibarta,naharkatiya,Low (5-8),168
Jaloni Maduba Chah Bagan 260,tengakhat,Low (5-8),168
Azizbag T.E.,tingkhong,Low (5-8),168
Balipar,naharkatiya,Low (5-8),168
Chapatoli No.4,tengakhat,Low (5-8),168
Deroi Tea Co.No.8 Darkhasta,tingkhong,Low (5-8),168
Dihing Kinar Naga,naharkatiya,Low (5-8),168
Chapatoli Nagar,tengakhat,Low (5-8),168
Grant No.57,tingkhong,Low (5-8),168
Jagunpara,naharkatiya,Low (5-8),168
Mer Bil N.C.,tengakhat,Low (5-8),168
Thekeraguri,tingkhong,Low (5-8),168
Chelengchuk,naharkatiya,Low (5-8),168
Chokali Pather Gaon,tengakhat,Low (5-8),168
Kachalu Pather,tingkhong,Low (5-8),168
Alichiga Gaon,naharkatiya,Low (5-8),168
Rajaali Bagan No.300NLR,tengakhat,Low (5-8),168
Nalani Kapohua No.3,tingkhong,Low (5-8),168
Mali Pather Gaon,naharkatiya,Low (5-8),168
Takelajan,tengakhat,Low (5-8),168
Longboi Nahula,tingkhong,Low (5-8),168
DehingKinerBangaliGaon I,tengakhat,Low (5-8),168
Kheroni,tingkhong,Low (5-8),168
Mohmari Gaon No.2,tengakhat,Low (5-8),168
Dhamon No.2,tingkhong,Low (5-8),168
Bhagamuria Gaon,tengakhat,Low (5-8),168
Tarani F.V,na,Low (5-8),168
Tikirabali,tengakhat,Low (5-8),168
Sam Pather No.1,na,Low (5-8),168
Pabhajan No.1,tengakhat,Low (5-8),168
Halibandha No.2,tengakhat,Low (5-8),168
Joktoli Barbam T.E. 44/171,na,Low (5-8),168
Halibandha No.1,tengakhat,Low (5-8),168
Tingrai Nepali No.1,tengakhat,Low (5-8),168
Hapjan Parbat ChahBagicha (87/,na,Low (5-8),168
Tingrai Charial,tengakhat,Low (5-8),168
Madhuting TE 335 NLR,tengakhat,Low (5-8),168
Dilli Chah Bagicha,na,Low (5-8),168
Pandua Gaon,tengakhat,Low (5-8),168
Taloni No. 259 NLR (pt.1),tengakhat,Low (5-8),168
Namchang Chah Bagicha,na,Low (5-8),168
Basmotia Grant Gaon,tengakhat,Low (5-8),168
Taloni No.138 Dharkhtra-15,tengakhat,Low (5-8),168
Dighalibari Gaon,na,Low (5-8),168
Joloni Grant no.15 (pt.1),tengakhat,Low (5-8),168
Wilton No.10,tengakhat,Low (5-8),168
Telijan Gaon,na,Low (5-8),168
Kekuri No.2,tingkhong,Low (5-8),168
Bherbheri Gaon,tengakhat,Low (5-8),168
Chaikash gaon,na,Low (5-8),168
Grab TE 5/34/105,tingkhong,Low (5-8),168
Ramkani,tengakhat,Low (5-8),168
Gelipung,na,Low (5-8),168
Karangani No.340 NLR,tingkhong,Low (5-8),168
Kathaloni Gaon,tengakhat,Low (5-8),168
Maran Chah Comp 18/139 no.f.s.,na,Low (5-8),168
Sessa Nepali,tingkhong,Low (5-8),168
Hukuta Gaon,tengakhat,Low (5-8),168
Kachmari No.2,na,Low (5-8),168
Churatanibam,tingkhong,Low (5-8),168
Dehing Arasuti,tengakhat,Low (5-8),168
Bhalukaguri,na,Low (5-8),168
Goghain Pathar,tingkhong,Low (5-8),168
Da-Hukuta,tengakhat,Low (5-8),168
Balijan 240 Darkasta,na,Low (5-8),168
Desam Chah Bagicha,tingkhong,Low (5-8),168
Chapatoli No.3,tengakhat,Low (5-8),168
Ouphulia TE No.33,na,Low (5-8),168
Nagabat No.2,tingkhong,Low (5-8),168
Madhuting Bangali,tengakhat,Low (5-8),168
Burisuti Kaibartta Gaon,na,Low (5-8),168
Maragajali,tingkhong,Low (5-8),168
Chapatoli No.2,tengakhat,Low (5-8),168
baghbari Gaon,na,Low (5-8),168
Longboi No.341 NLR,tingkhong,Low (5-8),168
Ghoomtal Gaon,tengakhat,Low (5-8),168
Hugrijan T.E.64/116 F.S.,na,Low (5-8),168
Sapkait No.1,tingkhong,Low (5-8),168
Mohmari Gaon No.1,tengakhat,Low (5-8),169
Dillighat Gaon No.1,na,Low (5-8),169
Bortoni No.2,tingkhong,Low (5-8),169
Amulguri Chah Bagan,tengakhat,Low (5-8),169
Miri Gaon,na,Low (5-8),169
Chabaru Baliani,na,Low (5-8),169
Phukan Bari Chah Bagan,tengakhat,Low (5-8),169
Nemu Pather No.69,na,Low (5-8),169
Bazalani 8/6/19 WL,na,Low (5-8),169
Merbil Pabhajan,tengakhat,Low (5-8),169
Nephaphu T.E.(Rangmola),na,Low (5-8),169
Mahmora Alikiner,na,Low (5-8),169
Lankashi Gaon,tengakhat,Low (5-8),169
Kachmari No.1,na,Low (5-8),169
Raidang,na,Low (5-8),169
Digboi Pather,tengakhat,Low (5-8),169
Diraight,na,Low (5-8),169
Bindhakata Gaon,na,Low (5-8),169
Merbil Pather,tengakhat,Low (5-8),169
Namoni Pather,na,Low (5-8),169
Naharkatia Bamun Gaon,tengakhat,Low (5-8),169
Rajabaribam,na,Low (5-8),169
Borhula Kachari Vill.,tengakhat,Low (5-8),169
Bar Saikiagaon,na,Low (5-8),169
Dulia No.1,tengakhat,Low (5-8),169
Rongmela,na,Low (5-8),169
Chabua TE 93/96-192NLR Grt.,chabua,Very Low (1-4),169
Ushapur,naharkatiya,Very Low (1-4),169
Fakial,naharkatiya,Very Low (1-4),169
Chengdhora,chabua,Very Low (1-4),169
Chapatoli Bangali,naharkatiya,Very Low (1-4),169
Faltutola Gaon,naharkatiya,Very Low (1-4),169
Mahabir Gaon,chabua,Very Low (1-4),169
Joypur Town,naharkatiya,Very Low (1-4),169
Nagaon Dhadumia,naharkatiya,Very Low (1-4),169
Nadua Grant,chabua,Very Low (1-4),169
Tipam Fakial,naharkatiya,Very Low (1-4),169
Keyam Pather No.70,na,Very Low (1-4),169
"Nahartoli T.E. 86,87,88 No.NLR",chabua,Very Low (1-4),169
Cherepajan,naharkatiya,Very Low (1-4),169
Dihajan Gaon,na,Very Low (1-4),169
Chiring Gaon,dibrugarh east,Very Low (1-4),169
Chengelijan Habi No.2,naharkatiya,Very Low (1-4),169
Kololur Block No.2,na,Very Low (1-4),169
Handique Gaon,dibrugarh east,Very Low (1-4),169
Chagalijan,naharkatiya,Very Low (1-4),169
Deroibam No.79,na,Very Low (1-4),169
Bakulbari 26/147 ORR,dibrugarh east,Very Low (1-4),169
Kekuri No.1,tengakhat,Very Low (1-4),169
Gorginga,na,Very Low (1-4),169
Saru Pather Gaon,dibrugarh east,Very Low (1-4),169
Hoogurijan,tengakhat,Very Low (1-4),169
Joktole Barbam 24/170 N.P.,na,Very Low (1-4),169
Japara Gaon,dibrugarh east,Very Low (1-4),169
Bherakibam Gaon,tengakhat,Very Low (1-4),169
Tamulbari T.E.90/93 NLR,dibrugarh east,Very Low (1-4),169
Chetia Pather No.2,tengakhat,Very Low (1-4),169
Rajabheta 135 No.F.S.,dibrugarh east,Very Low (1-4),169
Jutlibari Borholla,tengakhat,Very Low (1-4),169
Majutomto Bagan,dibrugarh east,Very Low (1-4),169
Chetia Pather No.1,tengakhat,Very Low (1-4),169
Mohmari Gaon-2,dibrugarh east,Very Low (1-4),169
Madhuting Gaon,tengakhat,Very Low (1-4),169
British India TE1/159 RR Grant,dibrugarh east,Very Low (1-4),169
Boragadhai Gaon,tengakhat,Very Low (1-4),169
Bhurbhuri Gaon No.2,dibrugarh east,Very Low (1-4),169
Kachmari Hatigarh Gaon,dibrugarh east,Very Low (1-4),169
Rangajan No.1,tengakhat,Very Low (1-4),169
Mankota 1/159 No.RR(A)pt.,dibrugarh east,Very Low (1-4),169
"Balijan Gaon 131,124",tengakhat,Very Low (1-4),169
Dighalia Block,moran,Very Low (1-4),169
Dhekiajan No.2,tengakhat,Very Low (1-4),169
Sam Pather No.2,moran,Very Low (1-4),169
Jaloni No.81,tengakhat,Very Low (1-4),169
Sepon Chah Bagicha 224/122&116,moran,Very Low (1-4),169
Basmotia T.E.,tengakhat,Very Low (1-4),169
Rasi Pather No.2,moran,Very Low (1-4),169
Era pather,tengakhat,Very Low (1-4),169
Losongaya Miri Gaon,moran,Very Low (1-4),169
MerbilMujulia No.2,tengakhat,Very Low (1-4),169
Dumordolong No.2,moran,Very Low (1-4),169
Merbil Majuli No.1,tengakhat,Very Low (1-4),169
Kololur,moran,Very Low (1-4),169
Padumoni Gaon,tengakhat,Very Low (1-4),169
Dehingia NadiKinerNC No.2,moran,Very Low (1-4),169
Rajgarh TE 275/299 NLR,tengakhat,Very Low (1-4),169
Halmari 20 Darkhasta,moran,Very Low (1-4),169
Chakalia Pather No.2,tengakhat,Very Low (1-4),169
Ahomgaon Kataki Pukhuri,moran,Very Low (1-4),169
Rajgarh TE 276 NLR,tengakhat,Very Low (1-4),169
0Silputa No.3,moran,Very Low (1-4),169
Deroi Grant No.1,tengakhat,Very Low (1-4),169
Sagunijan,moran,Very Low (1-4),169
Kachalu Pather No.2,tengakhat,Very Low (1-4),169
Sologuri Bangali,moran,Very Low (1-4),169
Dichang Block,tengakhat,Very Low (1-4),169
Ghugal Pather No.1,moran,Very Low (1-4),169
Sapkait No.2,tengakhat,Very Low (1-4),169
Silisili Kalalur Kochari Gaon,moran,Very Low (1-4),169
Deroi T.E. 44/188,tengakhat,Very Low (1-4),169
Phatikachowa Barbam,moran,Very Low (1-4),169
Deroi No.57 Darkhasta,tengakhat,Very Low (1-4),169
Umatara Chah Bagicha,naharkatiya,Very Low (1-4),169
Karangani No.18,tengakhat,Very Low (1-4),169
Tipam Fakial Nepali,naharkatiya,Very Low (1-4),169
Tipomia No.2,tengakhat,Very Low (1-4),169
Tiyoki Block (Kumar Gaon),naharkatiya,Very Low (1-4),169
Panidharia Gaon,naharkatiya,Very Low (1-4),169
Rang Rangia Gaon,na,Very Low (1-4),169
Uriamguri Block,naharkatiya,Very Low (1-4),169
App.No.347 LNR Part,naharkatiya,Very Low (1-4),169
Ghugula Pather,na,Very Low (1-4),169
