village_name_pdf,circle,flood_class,pdf_page
Bordoloni Gaon,moran,High (13-15),163
Majkapahuwa,naharkatiya,High (13-15),163
Charing Pather,tingkhong,High (13-15),163
Lakumoni No.1,moran,High (13-15),163
Cheleng,naharkatiya,High (13-15),163
Gerekoni No.1,tingkhong,High (13-15),163
Dehingia Gaon No.2,moran,High (13-15),163
Paniyebura Pather No.1,naharkatiya,High (13-15),163
Ghahi,tingkhong,High (13-15),163
Bormeshlow Gaon,moran,High (13-15),163
Tairai Gaon,naharkatiya,High (13-15),163
Gharbandi Baman Pukhuri,tingkhong,High (13-15),163
Bezapather no.2,moran,High (13-15),163
Nakhafiya Sonowal Gaon No.2,naharkatiya,High (13-15),163
Nabhakatia No.1,tingkhong,High (13-15),163
Ghuguloni Bangali,moran,High (13-15),163
Sachani,naharkatiya,High (13-15),163
Bamunpukhuri,tingkhong,High (13-15),163
Teporcholi Bam Gaon,moran,High (13-15),163
Dighalia Gaon,naharkatiya,High (13-15),163
Kereng,tingkhong,High (13-15),163
Madhakali No.1,moran,High (13-15),163
Kowoimari Gaon,naharkatiya,High (13-15),163
Kailagarh Habi,tingkhong,High (13-15),163
Gajpuria Nepali,moran,High (13-15),163
Amguri,naharkatiya,High (13-15),163
Bor Pather No.1,tingkhong,High (13-15),163
Panitola Gaon,moran,High (13-15),163
Jhinai Gaon,naharkatiya,High (13-15),163
Jamuguri No.1,tingkhong,High (13-15),163
Phatikachowa Abhoyapuria Gaon,moran,High (13-15),163
Asamia Gaon,naharkatiya,High (13-15),163
Mahmora Kapohua,tingkhong,High (13-15),163
Demorokiner Changmai,moran,High (13-15),163
Borbam No.1,naharkatiya,High (13-15),163
Garaguri Choudhung No.1,tingkhong,High (13-15),163
Fatikachowa Ahom Gaon,moran,High (13-15),163
Tarani Pather,naharkatiya,High (13-15),163
Betoni No.2,tingkhong,High (13-15),163
Konwar Gaon No.1,moran,High (13-15),163
Jamuguri Konwari Pather,naharkatiya,High (13-15),163
Bacha Gaon,tingkhong,High (13-15),163
Hunghugia No.1,moran,High (13-15),163
Kukuraphuia (Santipur),naharkatiya,High (13-15),163
Pulungari,tingkhong,High (13-15),163
Bezarchuk Bangali,moran,High (13-15),163
Mathawani,naharkatiya,High (13-15),163
Sisumaria Borpather,tingkhong,High (13-15),163
Bharalibari No. 1,moran,High (13-15),163
Gulimora No.1,tengakhat,High (13-15),163
Jamuguri Bangali,tingkhong,High (13-15),163
Deogharia No.2,moran,High (13-15),163
Gulimora No.2,tengakhat,High (13-15),163
Gharbandi Borpather,tingkhong,High (13-15),163
Arameshlow-2,moran,High (13-15),164
Gulimora T.E. No.24,tengakhat,High (13-15),164
Nachoni No.1,tingkhong,High (13-15),164
Barghoguloni,moran,High (13-15),164
Bamunikuria,tengakhat,High (13-15),164
Jerai Gaon,na,High (13-15),164
Konowar Gaon No.2,moran,High (13-15),164
Ghortong Bangali Gaon,tengakhat,High (13-15),164
Khalmati,na,High (13-15),164
Gojpuria Gaon,moran,High (13-15),164
Nakari Village,tengakhat,High (13-15),164
Namrup Chah Bagicha(S/E) Rly,na,High (13-15),164
Chahari Kota No.1,moran,High (13-15),164
Bordubi No.1,tengakhat,High (13-15),164
Kachomari,na,High (13-15),164
Goruhola Gaon,moran,High (13-15),164
Nagajan Gaon,tengakhat,High (13-15),164
Pulunga Gaon,na,High (13-15),164
Khowang Sonowal Bengali,moran,High (13-15),164
Kathalguri Gaon No.1,tengakhat,High (13-15),164
Jun Gaon No.1,na,High (13-15),164
Majumolia Gaon,moran,High (13-15),164
Balimora,tengakhat,High (13-15),164
Motok Kaibortta Gaon,na,High (13-15),164
Dekhari Nepali,moran,High (13-15),164
Ekorani No.1,tengakhat,High (13-15),164
Sagalikata,dibrugarh east,High (13-15),164
Kamaldai Bangali,moran,High (13-15),164
Basmotia No.2,tengakhat,High (13-15),164
Ghagarajan,dibrugarh east,High (13-15),164
Rasi Pather Nepali,moran,High (13-15),164
Chungigaon,tengakhat,High (13-15),164
Chiringhola No.2,dibrugarh east,High (13-15),164
Ghugul Bari,moran,High (13-15),164
Bhajani,tengakhat,High (13-15),164
Phutahola,dibrugarh east,High (13-15),164
Nahazar Sonowal,moran,High (13-15),164
Chiring Khat Gaon-1,tengakhat,High (13-15),164
Chawlkhowa Grant Gaon,dibrugarh east,High (13-15),164
Jatiyani,moran,High (13-15),164
Gandhiya Gaon,tengakhat,High (13-15),164
123/224 F.S. Grant (Romai),dibrugarh east,High (13-15),164
Thangal Gaon No.2,moran,High (13-15),164
Deoghoria,tengakhat,High (13-15),164
Hiloidhari Chandoi Gaon,dibrugarh east,High (13-15),164
chokalia No.3,moran,High (13-15),164
Borpather No.2,tengakhat,High (13-15),164
Nahar Saku Gaon,dibrugarh east,High (13-15),164
Deobil Gaon,tengakhat,High (13-15),164
Bebejia Gaon,dibrugarh east,High (13-15),164
Saragphola Gaon,moran,High (13-15),164
Kathalguri-2,tengakhat,High (13-15),164
Dewanbari 24/149 Grant,dibrugarh west,High (13-15),164
Chagali Pather,moran,High (13-15),164
Chekoli Baria Gaon,tengakhat,High (13-15),164
Ghitira Pather,dibrugarh west,High (13-15),164
Dekhari Kiner No.1,moran,High (13-15),164
Panimoli Gaon,tengakhat,High (13-15),164
Sapekhati Gaon,dibrugarh west,High (13-15),164
1 No.Leorgeri Gaon,moran,High (13-15),164
Saru Abhoyapuria,tengakhat,High (13-15),164
N.C,dibrugarh west,High (13-15),164
Hatimura Gaon,dibrugarh west,High (13-15),164
Kushia Khana Gaon,dibrugarh west,High (13-15),164
Garudharia Gaon No.1,dibrugarh west,High (13-15),164
Lezai Miri Gaon,dibrugarh west,High (13-15),164
Kadamani,chabua,Moderate (9-12),164
Jugalani 43 F.C.,dibrugarh west,Moderate (9-12),164
Dighalibil No.1,naharkatiya,Moderate (9-12),164
Dikam Naharani,chabua,Moderate (9-12),164
Jokai R.F.,dibrugarh west,Moderate (9-12),164
Tikirabari N.C.,naharkatiya,Moderate (9-12),164
Rohmoria Gaon,chabua,Moderate (9-12),164
Konwarbam Gaon,naharkatiya,Moderate (9-12),164
Sialkhati T.E. 9 No N.C.,chabua,Moderate (9-12),164
Harak Pather Gaon,dibrugarh west,Moderate (9-12),164
Amguri Nepali,naharkatiya,Moderate (9-12),164
Thanai T.E.,chabua,Moderate (9-12),164
Medela Grant No.3,dibrugarh west,Moderate (9-12),164
Komar Gaon,naharkatiya,Moderate (9-12),164
Balijan T.E.237/235/239/237,chabua,Moderate (9-12),164
Bahbari No.1,dibrugarh west,Moderate (9-12),164
Gela Disang,naharkatiya,Moderate (9-12),164
Sessa Kath,chabua,Moderate (9-12),164
Samaguri,dibrugarh west,Moderate (9-12),164
Ghuronia Bhatichuk,naharkatiya,Moderate (9-12),164
L.C.R.Grant No.11,chabua,Moderate (9-12),164
Merbil Grant No.5,naharkatiya,Moderate (9-12),164
Nadua Gohain,chabua,Moderate (9-12),164
Kutaha Gaon,dibrugarh west,Moderate (9-12),164
