village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha
Silputa No.3,291790,20.7,189,48,1,a,a,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,c,c,c,c,b,b,b,Yes,a,Yes,b,Yes,Yes,c,c,c,Yes,a,Yes,b,Yes,No,No,No,0.0,9.2,0.5,0.0,0.5,0.5,0.5,7.8,0.0,7.8
Dikhari Kinar Saragfala,291791,105.2,489,97,1,a,a,a,,,,,,0.0,Yes,No,Yes,No,Yes,No,No,No,c,c,c,c,c,b,b,a,a,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,11.0,1.0,0.0,0.5,0.5,0.5,90.7,0.0,90.7
Sensua Pukhuri No.2,291792,60.7,39,6,a,a,a,b,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,a,c,Yes,c,c,c,c,a,Yes,a,b,Yes,c,b,c,c,a,c,a,b,Yes,No,No,No,0.0,7.8,0.0,0.0,0.1,0.0,0.4,51.9,0.0,51.9
Saragfala Goan,291793,181.9,214,45,1,a,b,b,,,1.0,,,0.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,c,c,c,c,b,a,a,Yes,b,Yes,Yes,a,b,c,a,b,Yes,b,Yes,No,No,No,0.0,12.6,0.0,0.0,0.3,0.0,2.1,164.9,0.0,164.9
Dikhari Kinar No.4,291794,137.8,952,205,3,1,1,b,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,No,c,c,Yes,c,Yes,Yes,b,Yes,Yes,Yes,b,Yes,Yes,a,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,18.0,2.0,0.0,0.5,2.0,0.5,94.8,0.0,94.8
Haladhi Bari Na-Gaon,291795,96.7,295,62,1,1,b,b,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,b,b,b,b,b,b,Yes,a,Yes,b,Yes,Yes,a,c,c,a,b,Yes,a,Yes,No,No,No,0.0,35.2,0.0,0.0,12.1,0.0,0.0,20.1,0.0,20.1
Naharoni No.2,291796,174.9,741,150,1,1,b,b,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,b,Yes,b,b,b,a,Yes,Yes,Yes,b,Yes,Yes,b,c,c,a,b,Yes,Yes,Yes,No,No,No,0.0,70.4,45.0,0.0,8.0,0.0,3.3,21.1,0.0,21.1
Bahoni Pather Block Gaon,291797,39.0,68,12,a,b,b,b,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,a,c,a,c,b,a,a,a,a,a,b,a,Yes,b,c,c,Yes,b,a,a,Yes,No,No,No,0.0,5.2,1.7,0.0,0.3,0.3,0.4,26.6,0.0,26.6
Baghtoli Bahani,291798,133.0,400,80,1,1,a,b,,,,,,0.0,No,No,Yes,Yes,Yes,Yes,No,No,Yes,b,b,b,b,b,a,a,a,Yes,b,Yes,Yes,b,c,c,Yes,b,Yes,a,Yes,No,No,No,0.0,11.9,8.1,0.0,0.6,0.0,2.5,105.4,0.0,105.4
Madhakoli Grant No.128,291799,86.1,209,42,a,c,a,a,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,b,a,b,b,Yes,a,a,a,Yes,b,Yes,Yes,b,b,c,Yes,b,a,a,Yes,No,No,No,0.0,5.3,2.2,0.0,0.4,0.4,0.5,5.2,0.0,5.2
