village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha
Chawolkhowa Charaihabi Gaon,291066,132.6,519,93,1,a,a,c,,,,,,1.0,No,No,No,Yes,No,No,No,Yes,Yes,c,a,b,a,a,a,a,a,Yes,a,Yes,Yes,b,c,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,8.0,0.0,0.0,20.1,0.0,0.0,104.5,0.0,104.5
Chawolkhowa N.C.,291067,375.7,1668,291,3,3,a,a,,,,,,1.0,No,No,Yes,Yes,No,No,No,Yes,Yes,c,Yes,b,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,26.7,20.1,0.0,20.0,0.0,0.0,294.8,0.0,294.8
Shahjan Gaon No.2,291069,111.6,58,10,a,a,a,c,,,,,,1.0,Yes,No,No,Yes,No,No,Yes,No,c,c,Yes,c,a,a,c,c,c,c,a,a,Yes,c,c,c,Yes,c,c,a,No,No,No,No,0.0,48.7,0.0,40.0,3.4,1.8,0.0,15.4,0.0,15.4
Jagalani Grant No.43 F.S.,291070,498.6,1553,303,2,2,1,c,,,,,,1.0,Yes,Yes,No,Yes,Yes,No,No,Yes,c,Yes,Yes,Yes,c,Yes,c,c,c,Yes,Yes,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,66.9,0.0,0.0,80.3,13.4,0.0,307.8,0.0,307.8
Walkhabi Gaon No.1,291072,175.8,170,34,a,a,a,c,,,,,,1.0,No,Yes,Yes,No,No,No,No,Yes,Yes,c,Yes,c,c,Yes,c,c,c,Yes,b,Yes,Yes,b,c,b,Yes,c,c,a,Yes,No,No,No,0.0,47.1,40.0,0.0,0.0,0.0,0.0,68.6,0.0,68.6
Walkhabi Gaon No.2,291073,289.2,772,147,1,1,1,c,,,,,,1.0,No,No,Yes,No,No,No,No,Yes,Yes,c,Yes,c,c,c,c,c,c,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,37.1,79.6,0.0,0.0,15.0,0.0,151.8,0.0,151.8
Gabharujan Gaon,291074,129.7,328,63,1,1,b,c,,,,,,1.0,No,Yes,Yes,No,No,No,No,Yes,Yes,c,Yes,c,c,b,c,c,c,Yes,a,Yes,Yes,c,c,c,a,c,Yes,a,Yes,No,No,No,0.0,17.3,0.0,0.0,0.0,0.0,0.0,109.3,0.0,109.3
Shajan Gaon No.1,291075,46.0,58,12,a,a,a,c,,,,,,1.0,No,Yes,Yes,No,No,No,Yes,No,c,c,Yes,c,c,c,c,c,c,c,a,a,Yes,c,c,c,Yes,c,a,a,No,No,No,No,0.0,2.8,0.0,0.0,14.2,2.9,0.0,26.0,0.0,26.0
Hiloibam Gaon,291076,10.1,181,38,1,a,b,c,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,Yes,a,b,b,a,a,a,Yes,b,Yes,Yes,c,c,c,a,c,Yes,b,Yes,No,No,No,0.0,0.1,0.0,6.3,2.1,0.0,0.0,1.6,0.0,1.6
Kalatomoni Gaon,291077,352.9,95,19,a,a,a,b,,,1.0,,,1.0,No,No,Yes,Yes,No,No,No,Yes,c,c,Yes,Yes,b,b,a,a,a,a,b,Yes,Yes,b,b,b,Yes,c,a,b,Yes,No,No,No,0.0,17.2,0.0,0.8,26.8,1.3,0.0,304.0,0.0,304.0
Hapekhati Gaon,291078,187.9,210,45,1,a,a,b,,,,,,1.0,No,Yes,Yes,No,No,No,No,No,c,c,b,c,b,c,b,b,b,Yes,a,Yes,Yes,b,b,b,a,c,Yes,b,No,No,No,No,0.0,28.3,0.0,8.4,7.1,0.0,0.0,141.0,0.0,141.0
Lengapather Gaon,291079,114.7,396,64,2,,b,c,,,,,,1.0,No,No,Yes,No,No,No,No,Yes,Yes,c,a,c,a,a,c,c,c,Yes,a,Yes,Yes,b,c,b,Yes,c,Yes,c,Yes,No,No,No,0.0,44.8,16.0,0.0,0.0,0.0,50.4,0.0,0.0,0.0
Bagibill Gaon,291080,253.2,495,85,1,a,a,b,,,,,,1.0,No,No,Yes,No,No,No,No,Yes,Yes,b,a,b,b,b,b,b,b,Yes,a,Yes,Yes,c,b,c,Yes,b,a,Yes,Yes,No,No,No,0.0,82.1,0.0,0.0,6.7,3.3,0.0,149.0,0.0,149.0
Mahmari Pather,291081,167.9,1354,265,3,2,a,a,,,,,,1.0,No,Yes,Yes,No,No,No,No,No,Yes,b,Yes,b,a,a,a,a,a,Yes,b,Yes,Yes,b,a,b,a,b,Yes,Yes,Yes,No,No,No,0.0,21.0,0.0,0.0,7.7,0.0,0.0,135.8,0.0,135.8
Changamari Habi,291082,232.9,399,76,1,a,a,b,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,c,b,Yes,b,a,a,b,b,b,Yes,b,Yes,Yes,b,b,b,Yes,b,Yes,b,No,No,No,No,0.0,105.0,0.0,56.3,0.0,0.0,0.0,58.3,0.0,58.3
Changamari Tekela Gaon,291083,218.9,654,124,1,a,a,b,,,1.0,,,1.0,No,Yes,Yes,No,No,No,No,Yes,Yes,b,a,b,a,a,b,b,b,Yes,b,Yes,Yes,b,b,b,a,b,Yes,Yes,Yes,No,No,No,0.0,17.4,0.0,0.0,0.0,0.0,2.0,190.2,0.0,190.2
Dighala Gaon,291084,259.1,548,101,1,b,b,b,,,1.0,,,1.0,No,Yes,Yes,Yes,Yes,No,No,No,Yes,b,b,b,b,b,b,b,b,Yes,a,Yes,Yes,b,b,b,Yes,b,Yes,Yes,Yes,No,No,No,0.0,55.0,0.0,0.0,7.0,10.0,0.0,187.1,0.0,187.1
Tingkhong Gaon,291085,331.7,1358,255,2,2,a,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,b,b,b,Yes,b,a,a,a,Yes,b,Yes,Yes,a,a,a,a,b,Yes,Yes,Yes,No,No,No,0.0,115.0,0.0,0.0,4.1,8.0,0.0,195.0,0.0,195.0
Nagakhalia Gaon,291086,0.0,423,89,1,a,a,a,,,1.0,,,1.0,No,No,Yes,Yes,No,No,No,No,Yes,a,a,a,a,a,a,a,a,Yes,b,Yes,Yes,a,a,a,Yes,a,Yes,a,Yes,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Konwar Handiqui Gaon,291087,192.0,1197,230,1,a,a,a,,,,,,1.0,Yes,Yes,Yes,No,No,No,Yes,No,Yes,b,a,b,Yes,a,a,a,a,Yes,b,Yes,Yes,a,a,a,Yes,b,Yes,Yes,Yes,No,No,No,75.0,0.0,0.0,0.0,8.0,5.0,0.0,97.0,0.0,97.0
Kamar Gaon,291088,242.2,3437,747,3,3,a,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,a,Yes,a,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,a,a,a,a,a,Yes,Yes,Yes,No,No,No,0.0,130.0,0.0,0.0,20.1,5.1,0.0,63.0,0.0,63.0
Chring Gaon,291089,123.2,1380,325,1,a,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,a,a,a,Yes,a,a,a,a,Yes,b,Yes,Yes,b,a,c,a,a,Yes,Yes,Yes,No,No,No,0.0,83.0,0.0,0.0,0.0,0.0,0.0,19.9,0.0,19.9
Mankata T.E. 1/159 Rra (A),291090,256.0,5461,1288,1,a,a,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,a,Yes,a,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,Yes,a,a,Yes,a,Yes,Yes,Yes,No,Yes,No,0.0,80.4,0.0,0.0,0.0,0.0,0.0,165.2,0.0,165.2
Tepargaon,291091,251.0,4304,966,1,3,a,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,a,Yes,a,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,b,a,b,Yes,a,Yes,Yes,Yes,No,Yes,No,0.0,183.9,0.0,4.0,0.0,0.0,0.0,57.1,0.0,57.1
Boiragimoth Kachari Gaon,291092,156.4,3665,817,2,3,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,a,Yes,Yes,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,b,a,b,b,a,Yes,Yes,Yes,No,No,No,0.0,122.6,0.0,0.0,0.0,0.0,0.0,26.8,0.0,26.8
Hatimora Gaon,291093,195.7,893,172,1,a,a,a,,,1.0,,,1.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,b,b,a,Yes,Yes,a,a,a,Yes,b,Yes,Yes,b,b,b,Yes,b,Yes,Yes,Yes,No,Yes,No,0.0,97.4,0.0,1.4,0.0,0.0,0.0,70.6,0.0,70.6
Suta Bogpara 10/165 (B),291094,236.3,1066,221,1,2,b,b,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,a,Yes,b,Yes,Yes,b,b,b,Yes,b,Yes,Yes,b,b,b,Yes,b,Yes,Yes,Yes,No,No,No,0.0,81.4,0.0,0.0,0.0,0.0,0.0,139.6,0.0,139.6
Dhakeri Gaon,291095,156.2,3585,815,1,3,1,a,,,1.0,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,b,a,b,a,a,Yes,Yes,Yes,No,Yes,No,0.0,101.2,0.0,8.5,0.0,0.0,0.0,30.3,0.0,30.3
Gharbondi Chuk Jarua Gaon,291096,230.7,4409,894,3,1,2,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,a,a,a,Yes,a,Yes,Yes,Yes,No,Yes,No,0.0,126.6,0.0,6.4,0.0,0.0,0.0,82.6,0.0,82.6
Kuchia Khana Gaon,291097,192.5,562,129,1,1,1,b,,,,,,1.0,No,Yes,Yes,No,No,No,No,Yes,Yes,b,a,a,a,Yes,a,a,a,Yes,b,Yes,Yes,a,b,a,Yes,b,Yes,Yes,Yes,No,No,No,0.0,5.7,0.0,4.8,180.3,0.0,0.0,0.0,0.0,0.0
Bora Bogpara T.E.8/185 Orr Grant,291099,261.4,840,187,1,a,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,b,Yes,b,a,Yes,a,a,a,Yes,b,Yes,Yes,a,b,a,a,b,Yes,Yes,Yes,No,No,No,0.0,4.6,0.0,0.0,3.4,0.0,0.0,251.2,0.0,251.2
Bogpara Gaon,291100,243.1,983,209,2,1,a,b,,,1.0,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,b,b,a,a,Yes,a,a,a,Yes,b,Yes,Yes,a,b,a,Yes,b,Yes,Yes,Yes,No,No,No,0.0,33.9,0.0,28.3,4.9,1.1,0.0,168.2,0.0,168.2
Suta Bogpar T.E.10/165 O.R(A) Grant,291101,235.6,1582,322,1,a,a,b,,,,,,1.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,b,Yes,a,a,a,a,a,a,Yes,Yes,Yes,Yes,a,b,a,Yes,b,Yes,Yes,Yes,No,No,No,0.0,19.5,0.0,0.0,0.8,0.0,0.0,211.5,0.0,211.5
Khanikar T.E.32/31 N.L.R.Grant,291102,124.8,1052,210,1,a,b,b,,,,,,1.0,No,No,Yes,No,No,No,Yes,No,Yes,b,a,b,Yes,Yes,a,a,a,Yes,b,Yes,Yes,b,b,b,Yes,b,Yes,Yes,Yes,No,No,No,0.0,0.3,0.0,0.0,0.0,1.1,0.0,122.2,0.0,122.2
Lakai Gaon,291103,291.2,2584,480,1,b,b,b,,,1.0,,,3.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,b,Yes,b,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,a,b,a,Yes,b,Yes,Yes,Yes,No,No,No,0.0,16.2,0.0,2.1,26.8,4.8,0.0,224.4,0.0,224.4
Sessakuch N.C.,291104,2.2,384,81,1,a,b,b,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,b,Yes,b,a,a,b,b,b,Yes,a,Yes,Yes,b,b,b,a,b,a,a,Yes,No,No,No,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.7
Nij Khanikar Gaon,291105,162.1,893,201,1,a,b,b,,,1.0,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,b,Yes,b,Yes,Yes,a,a,a,Yes,b,Yes,Yes,b,a,b,Yes,b,Yes,Yes,Yes,No,No,No,0.0,19.2,0.0,9.8,0.8,0.0,0.9,124.5,0.0,124.5
Khanikar T.E. 2 L.C.R. Grant,291106,250.8,171,33,1,a,b,b,,,,,,1.0,No,No,Yes,Yes,No,No,No,Yes,b,b,Yes,b,a,a,a,a,a,Yes,a,Yes,Yes,b,a,b,a,b,Yes,a,No,No,No,No,0.0,1.1,0.0,0.0,0.0,1.6,0.0,245.8,0.0,245.8
Mankatta T.E. 1/159 Rr(B)Grant,291107,197.8,1693,339,1,2,1,a,,,,,,1.0,No,Yes,Yes,Yes,No,No,Yes,No,Yes,b,Yes,b,a,Yes,a,a,a,Yes,Yes,Yes,Yes,b,a,b,a,b,Yes,Yes,Yes,No,No,No,0.0,190.2,0.0,0.0,0.0,0.0,0.0,7.5,0.0,7.5
Ghoramora Gaon,291108,111.9,302,62,1,1,b,b,,,,,,1.0,No,Yes,No,Yes,No,No,No,No,Yes,b,Yes,b,a,a,b,b,b,Yes,a,Yes,Yes,b,b,b,Yes,b,Yes,a,Yes,No,No,No,0.0,30.7,0.0,10.0,9.4,1.1,0.0,58.8,0.0,58.8
Japara Gaon,291109,132.9,920,215,1,1,1,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,b,b,Yes,b,Yes,Yes,a,a,a,Yes,a,Yes,Yes,b,a,b,a,b,Yes,Yes,Yes,No,No,No,0.0,103.2,0.0,0.0,0.0,6.0,0.0,23.7,0.0,23.7
Dainijan Gaon,291110,176.7,774,156,1,b,b,b,,,1.0,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,c,Yes,c,b,Yes,a,a,a,Yes,a,Yes,Yes,b,b,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,122.8,0.0,14.0,0.0,0.0,0.0,36.4,0.0,36.4
Borpather Konwar Gaon,291111,349.4,1630,340,3,2,1,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,b,Yes,b,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,b,a,b,Yes,b,Yes,Yes,Yes,No,Yes,No,0.0,60.6,0.0,3.4,2.0,3.9,0.0,268.2,0.0,268.2
Handiqui Chuk Gaon,291112,190.8,1033,211,3,2,b,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,b,a,b,Yes,Yes,a,a,a,Yes,b,Yes,Yes,c,b,c,Yes,b,Yes,Yes,Yes,No,No,No,0.0,13.6,0.0,0.0,25.2,0.0,4.2,137.4,0.0,137.4
Behiating T.E.,291113,221.5,1173,250,1,a,a,a,,,,,,4.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,a,c,a,Yes,a,a,a,Yes,b,Yes,Yes,c,a,c,Yes,c,Yes,Yes,Yes,No,Yes,No,0.0,0.0,25.8,0.0,2.6,0.0,0.0,193.1,0.0,193.1
Kachari Gaon,291114,199.8,583,119,1,a,b,b,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,b,Yes,b,Yes,Yes,b,b,b,Yes,b,Yes,Yes,c,b,c,a,b,Yes,Yes,Yes,No,No,No,0.0,14.8,0.0,0.0,0.0,0.0,0.0,183.0,0.0,183.0
Dibuwal Dihingia Gaon,291115,226.5,2906,615,3,2,1,a,,1.0,,,,1.0,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,a,Yes,b,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,c,a,c,Yes,b,Yes,Yes,Yes,No,Yes,No,0.0,55.9,0.0,3.2,0.0,0.0,0.0,164.4,0.0,164.4
Matak Gaon,291116,179.0,2838,591,5,2,1,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,b,b,Yes,a,a,Yes,a,a,a,Yes,Yes,Yes,Yes,c,a,c,Yes,b,Yes,Yes,Yes,No,No,No,0.0,113.8,0.0,0.0,0.0,0.0,0.0,58.5,0.0,58.5
Rawomari Gaon,291117,274.4,1300,249,2,2,b,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,b,Yes,b,b,b,b,b,b,Yes,b,Yes,Yes,b,b,b,Yes,b,Yes,Yes,Yes,No,Yes,No,0.0,175.6,0.0,0.0,0.0,0.0,0.0,95.4,0.0,95.4
Kapwotepor Gaon,291118,283.0,2908,582,3,2,b,b,,,,,,1.0,Yes,Yes,Yes,No,No,No,No,No,Yes,c,a,a,Yes,c,b,b,b,Yes,a,Yes,Yes,b,b,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,160.6,0.0,0.0,0.0,0.0,0.0,97.4,0.0,97.4
Tepar Pather Gaon,291119,223.7,349,65,1,a,a,c,,,,,,1.0,No,Yes,Yes,No,No,No,No,No,c,c,a,a,a,a,b,b,b,Yes,a,Yes,Yes,c,c,c,Yes,c,a,a,No,No,No,No,0.0,17.8,0.0,0.0,25.1,1.7,0.0,176.5,0.0,176.5
Subachuk  Gaon,291120,197.4,1345,273,2,2,1,b,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,a,a,Yes,b,a,a,a,Yes,b,Yes,Yes,b,c,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,3.0,0.0,4.0,0.0,1.8,0.0,185.3,0.0,185.3
Thangal Gaon,291121,119.3,1056,219,1,a,a,b,,,1.0,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,a,a,Yes,b,a,a,a,Yes,a,Yes,Yes,b,b,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,6.4,0.0,0.0,11.8,1.3,0.0,97.4,0.0,97.4
Digali Dalani Gaon,291122,351.7,739,148,2,1,a,b,,,1.0,,,1.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,Yes,a,Yes,b,a,a,a,Yes,b,Yes,Yes,b,b,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,6.2,0.0,179.4,83.8,3.7,0.0,77.3,0.0,77.3
No.2 Garudharia Gaon,291123,758.5,980,190,1,a,a,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,c,c,Yes,,b,b,Yes,b,Yes,Yes,b,Yes,Yes,b,b,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,155.2,0.0,0.0,3.2,1.5,0.0,581.9,0.0,581.9
Garudharia Charaihabi Gaon,291124,84.5,492,89,1,a,a,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,a,b,a,b,b,b,b,Yes,a,Yes,Yes,a,b,a,a,c,Yes,Yes,Yes,No,No,No,0.0,2.3,0.0,2.0,11.4,1.4,0.0,65.4,0.0,65.4
No.1 Garudharia Gaon,291125,27.0,436,73,1,2,1,b,,,1.0,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,Yes,a,Yes,b,b,b,b,Yes,b,Yes,Yes,c,b,c,a,c,Yes,a,Yes,No,No,No,0.0,1.3,0.0,4.3,3.2,0.0,0.0,17.6,0.0,17.6
Dewanbari Gaon,291126,72.8,230,49,1,a,a,a,,,1.0,,,1.0,No,Yes,Yes,No,No,No,No,No,c,c,a,c,a,a,a,a,a,Yes,a,Yes,Yes,b,c,b,Yes,c,Yes,a,No,No,No,No,0.0,26.2,0.0,0.0,0.0,0.0,0.0,42.1,0.0,42.1
Dewanbari Bagisha 24/149 No.Grant,291127,109.4,347,72,1,a,a,a,,,,,,1.0,No,No,Yes,Yes,No,No,No,Yes,Yes,c,Yes,c,a,a,a,a,a,Yes,a,Yes,Yes,b,c,b,Yes,c,Yes,a,Yes,No,No,No,0.0,79.4,0.0,0.0,0.0,0.0,0.0,26.7,0.0,26.7
Metekani Gaon,291128,93.2,835,167,1,b,b,b,,,,,,1.0,No,Yes,Yes,No,No,No,No,No,c,c,a,c,a,a,a,a,a,Yes,b,Yes,Yes,a,b,b,Yes,c,Yes,Yes,No,No,No,No,0.0,3.5,0.0,0.0,0.0,1.5,0.2,87.2,0.0,87.2
Dewanbari Bagisha,291129,143.0,543,112,1,a,a,a,,,,,,1.0,No,No,Yes,No,No,No,No,No,Yes,c,a,c,b,b,b,b,b,Yes,a,Yes,Yes,a,a,a,Yes,c,Yes,Yes,Yes,No,No,No,0.0,123.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,16.5
Tinchukia Gaon,291130,330.8,1447,286,3,a,a,c,,,1.0,,1.0,1.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,a,b,Yes,Yes,a,a,a,Yes,a,Yes,Yes,a,b,a,Yes,c,Yes,Yes,Yes,No,No,No,0.0,140.5,0.0,0.0,8.2,0.0,0.0,159.7,0.0,159.7
Binoigutia Gaon,291131,474.9,3228,626,5,3,1,b,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,b,Yes,c,a,a,a,a,a,Yes,Yes,Yes,Yes,b,b,b,a,c,Yes,Yes,Yes,No,No,No,0.0,112.4,0.0,24.8,5.7,0.0,0.0,311.6,0.0,311.6
Medela Grant No.3,291132,429.3,2149,431,3,2,b,b,,,,,,1.0,Yes,Yes,Yes,No,No,No,No,No,Yes,a,Yes,b,Yes,Yes,b,b,b,Yes,Yes,Yes,Yes,a,b,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,141.2,0.0,0.0,0.0,0.0,0.0,257.6,0.0,257.6
Lepetkatta 60 No-Fs 71 No.Nlr,291133,72.9,337,73,1,a,a,a,,,,,,1.0,No,Yes,Yes,No,No,No,No,No,c,c,a,b,a,a,a,a,a,Yes,a,Yes,Yes,b,b,b,Yes,c,a,a,No,No,No,No,0.0,7.1,0.0,0.0,0.0,0.0,0.0,62.4,0.0,62.4
Lepetkatta Gaon,291134,289.9,1944,401,1,a,a,a,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,No,Yes,a,Yes,b,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,b,a,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,60.8,0.0,0.0,0.0,0.0,0.0,209.0,0.0,209.0
Lepetkatta Bangla Block,291135,18.7,152,44,a,a,b,b,,,,,,1.0,Yes,No,Yes,Yes,No,No,No,No,Yes,c,a,b,b,b,a,a,a,Yes,a,Yes,Yes,c,b,c,Yes,c,a,a,Yes,No,No,No,0.0,2.0,0.0,0.0,0.7,0.0,0.0,16.0,0.0,16.0
Lepetkatta Bagisha,291136,62.6,515,106,1,a,a,a,,,,,,1.0,No,Yes,Yes,No,No,No,No,No,c,c,a,a,b,b,a,a,a,Yes,a,Yes,Yes,b,a,c,a,c,Yes,Yes,No,No,No,No,0.0,2.4,0.0,0.0,0.0,0.0,0.0,58.9,0.0,58.9
Changmai Gohain Gaon,291137,204.5,1374,298,1,2,1,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,a,a,c,Yes,Yes,a,a,a,Yes,b,Yes,Yes,c,a,c,a,c,Yes,Yes,Yes,No,No,No,0.0,34.6,0.0,1.3,0.0,0.0,0.0,167.1,0.0,167.1
No-Hazar Konwar Gaon,291138,185.6,538,120,1,1,a,a,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,a,a,c,Yes,Yes,a,a,a,Yes,a,Yes,Yes,b,a,b,a,c,Yes,Yes,Yes,No,No,No,0.0,31.4,0.0,4.5,0.0,0.0,0.0,133.3,0.0,133.3
Patra Gaon,291139,191.2,818,176,1,a,a,a,,,,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,b,Yes,Yes,a,a,a,a,a,Yes,b,Yes,Yes,b,a,b,Yes,b,Yes,Yes,Yes,No,No,No,0.0,105.0,0.0,0.0,12.7,0.0,0.0,47.8,0.0,47.8
Borahajer Konwar Gaon,291140,184.2,2098,446,1,2,1,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,b,Yes,b,a,a,a,a,a,Yes,Yes,Yes,Yes,c,b,c,a,b,Yes,Yes,Yes,No,No,No,0.0,40.6,0.0,6.8,0.0,0.9,0.0,109.8,0.0,109.8
Lepetkatta Kachari Gaon,291141,327.9,1219,244,2,2,a,1,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,b,a,b,Yes,a,a,a,a,Yes,a,Yes,Yes,b,a,b,a,b,Yes,Yes,Yes,No,No,No,0.0,220.8,0.0,12.8,0.0,0.0,0.0,90.9,0.0,90.9
Changmai Garia Gaon,291142,245.0,1882,407,1,2,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,Yes,c,Yes,a,a,a,a,Yes,Yes,Yes,Yes,b,a,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,34.0,0.0,0.0,5.0,0.0,0.0,199.0,0.0,199.0
Borborua T.E. 13/76 Orr Grant,291143,119.1,2324,455,1,2,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,b,Yes,c,a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,c,a,c,a,b,Yes,Yes,Yes,No,Yes,No,0.0,9.4,0.0,0.0,0.0,0.0,0.0,102.9,0.0,102.9
Dulia Gaon,291144,187.4,872,189,1,a,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,a,c,Yes,Yes,a,a,a,Yes,a,Yes,Yes,c,a,c,a,c,Yes,Yes,Yes,No,No,No,0.0,85.2,0.0,15.4,0.0,0.0,0.0,81.8,0.0,81.8
Dulia Mahorani Gaon,291145,108.6,352,80,1,a,a,a,,,,,,1.0,No,Yes,Yes,No,No,No,No,Yes,Yes,c,a,c,a,a,a,a,a,Yes,a,Yes,Yes,c,a,c,Yes,c,Yes,a,Yes,No,No,No,0.0,7.4,0.0,1.2,0.4,0.9,0.0,97.0,0.0,97.0
Sessa T.E. 14/153 Orr Grant,291146,575.8,3331,607,1,a,a,b,,,1.0,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,b,Yes,b,b,Yes,b,b,b,Yes,Yes,Yes,Yes,c,b,c,Yes,b,Yes,Yes,Yes,No,No,No,0.0,25.7,286.9,0.0,23.1,0.0,0.0,240.0,0.0,240.0
Mohmari Gaon No.1,291147,231.8,1129,228,1,2,a,b,,,1.0,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,b,b,b,b,Yes,b,b,b,Yes,a,Yes,Yes,c,b,c,Yes,b,Yes,Yes,Yes,No,No,No,0.0,8.2,0.0,36.4,0.0,0.0,0.0,72.4,0.0,72.4
